"","X1","X2","X3"
"1",NA,"Player","2016/17"
"2",1,"LeBron James","$30,963,450"
"3",2,"Al Horford","$26,540,100"
"4",2,"Kevin Durant","$26,540,100"
"5",2,"James Harden","$26,540,100"
"6",2,"Mike Conley","$26,540,100"
"7",2,"Russell Westbrook","$26,540,100"
"8",2,"DeMar DeRozan","$26,540,100"
"9",8,"Dirk Nowitzki","$25,000,000"
"10",9,"Carmelo Anthony","$24,559,380"
"11",10,"Damian Lillard","$24,328,425"
"12",11,"Chris Bosh","$23,741,060"
"13",12,"Dwight Howard","$23,500,000"
"14",13,"Dwyane Wade","$23,200,000"
"15",14,"Chris Paul","$22,868,827"
"16",15,"Harrison Barnes","$22,116,750"
"17",15,"Andre Drummond","$22,116,750"
"18",15,"Chandler Parsons","$22,116,750"
"19",15,"Hassan Whiteside","$22,116,750"
"20",15,"Anthony Davis","$22,116,750"
"21",15,"Bradley Beal","$22,116,750"
"22",21,"Derrick Rose","$21,323,252"
"23",22,"Brook Lopez","$21,165,675"
"24",22,"Kevin Love","$21,165,675"
"25",22,"DeAndre Jordan","$21,165,675"
"26",22,"Marc Gasol","$21,165,675"
"27",26,"Nicolas Batum","$20,869,566"
"28",27,"LaMarcus Aldridge","$20,575,005"
"29",28,"Blake Griffin","$20,093,064"
"30",29,"Paul Millsap","$20,072,033"
"31",30,"Ryan Anderson","$18,735,364"
"32",31,"Allen Crabbe","$18,500,000"
"33",32,"Paul George","$18,100,000"
"34",33,"Luol Deng","$18,000,000"
"35",34,"Kyrie Irving","$17,638,063"
"36",34,"Kawhi Leonard","$17,638,063"
"37",36,"Jimmy Butler","$17,552,209"
"38",37,"Tobias Harris","$17,200,000"
"39",38,"Wesley Matthews","$17,145,838"
"40",38,"Greg Monroe","$17,145,838"
"41",38,"Enes Kanter","$17,145,838"
"42",41,"Joakim Noah","$17,000,000"
"43",41,"Evan Fournier","$17,000,000"
"44",41,"Bismack Biyombo","$17,000,000"
"45",44,"Klay Thompson","$16,663,575"
"46",45,"Evan Turner","$16,393,443"
"47",46,"Gordon Hayward","$16,073,140"
"48",47,"Timofey Mozgov","$16,000,000"
"49",47,"Ian Mahinmi","$16,000,000"
"50",49,"Goran Dragic","$15,891,725"
"51",50,"DeMarcus Cousins","$15,756,438"
"52",50,"John Wall","$15,756,438"
"53",52,"Kent Bazemore","$15,730,337"
"54",53,"Pau Gasol","$15,500,000"
"55",54,"Tristan Thompson","$15,330,435"
"56",54,"Draymond Green","$15,330,435"
"57",56,"Khris Middleton","$15,200,000"
"58",57,"Danilo Gallinari","$15,050,000"
"59",58,"Jeff Green","$15,000,000"
"60",59,"Reggie Jackson","$14,956,522"
"61",60,"Deron Williams","$14,885,520"
"62",61,"Tony Parker","$14,445,313"
"63",62,"Jonas Valanciunas","$14,382,023"
"64",63,"DeMarre Carroll","$14,200,000"
"65",64,"Rajon Rondo","$14,000,000"
"66",64,"Eric Bledsoe","$14,000,000"
"67",64,"Manu Ginobili","$14,000,000"
"68",67,"Ricky Rubio","$13,400,000"
"69",68,"Rudy Gay","$13,333,333"
"70",69,"Jamal Crawford","$13,253,012"
"71",70,"Robin Lopez","$13,219,250"
"72",71,"Michael Kidd-Gilchrist","$13,000,000"
"73",72,"JR Smith","$12,800,000"
"74",73,"Brandon Knight","$12,606,250"
"75",74,"Jordan Clarkson","$12,500,000"
"76",74,"Arron Afflalo","$12,500,000"
"77",76,"Tyson Chandler","$12,415,000"
"78",77,"Miles Plumlee","$12,400,000"
"79",78,"Eric Gordon","$12,385,665"
"80",79,"John Henson","$12,267,606"
"81",80,"Marvin Williams","$12,250,000"
"82",80,"Serge Ibaka","$12,250,000"
"83",82,"Stephen Curry","$12,112,359"
"84",83,"Nikola Pekovic","$12,100,000"
"85",84,"Kenneth Faried","$12,078,652"
"86",84,"Thaddeus Young","$12,078,652"
"87",86,"Amir Johnson","$12,000,000"
"88",86,"Kemba Walker","$12,000,000"
"89",86,"Kyle Lowry","$12,000,000"
"90",86,"Marcin Gortat","$12,000,000"
"91",90,"Nikola Vucevic","$11,750,000"
"92",91,"Solomon Hill","$11,709,603"
"93",92,"Jeremy Lin","$11,483,254"
"94",93,"Andrew Bogut","$11,410,378"
"95",94,"Courtney Lee","$11,242,000"
"96",95,"Wilson Chandler","$11,233,146"
"97",96,"Andre Iguodala","$11,131,368"
"98",97,"Derrick Favors","$11,050,000"
"99",98,"Austin Rivers","$11,000,000"
"100",98,"Jrue Holiday","$11,000,000"
"101",98,"Joe Johnson","$11,000,000"
"102",101,"Jon Leuer","$10,991,957"
"103",102,"Anderson Varejao","$10,851,659"
"104",103,"Monta Ellis","$10,763,500"
"105",104,"Mirza Teletovic","$10,500,000"
"106",105,"Jared Dudley","$10,470,000"
"107",106,"Al Jefferson","$10,230,179"
"108",107,"Tyreke Evans","$10,203,755"
"109",108,"Zach Randolph","$10,000,000"
"110",108,"Terrence Ross","$10,000,000"
"111",108,"Danny Green","$10,000,000"
"112",111,"Alec Burks","$9,904,495"
"113",112,"Omer Asik","$9,904,494"
"114",113,"Iman Shumpert","$9,662,922"
"115",114,"Matthew Dellavedova","$9,607,500"
"116",115,"Jerryd Bayless","$9,424,084"
"117",116,"Trevor Booker","$9,250,000"
"118",117,"Meyers Leonard","$9,213,484"
"119",118,"Gerald Henderson","$9,000,000"
"120",119,"Moe Harkless","$8,988,764"
"121",120,"Taj Gibson","$8,950,000"
"122",121,"E'Twaun Moore","$8,801,363"
"123",122,"Kris Humphries","$8,630,000"
"124",123,"Ersan Ilyasova","$8,400,000"
"125",124,"Dwight Powell","$8,375,000"
"126",125,"Avery Bradley","$8,269,663"
"127",126,"Tiago Splitter","$8,250,000"
"128",127,"Darrell Arthur","$8,070,175"
"129",128,"Kosta Koufos","$8,046,500"
"130",129,"Tyler Zeller","$8,000,000"
"131",129,"Jeff Teague","$8,000,000"
"132",129,"Kevin Garnett","$8,000,000"
"133",129,"Garrett Temple","$8,000,000"
"134",129,"Anthony Tolliver","$8,000,000"
"135",129,"George Hill","$8,000,000"
"136",135,"Channing Frye","$7,806,971"
"137",136,"Trevor Ariza","$7,800,000"
"138",137,"Jose Calderon","$7,708,427"
"139",138,"Al-Farouq Aminu","$7,680,965"
"140",139,"Cole Aldrich","$7,643,979"
"141",140,"Corey Brewer","$7,612,172"
"142",141,"Festus Ezeli","$7,400,000"
"143",141,"Markieff Morris","$7,400,000"
"144",143,"JJ Redick","$7,377,500"
"145",144,"Cory Joseph","$7,315,000"
"146",145,"DJ Augustin","$7,250,000"
"147",146,"Jeremy Lamb","$7,000,000"
"148",146,"Louis Williams","$7,000,000"
"149",146,"Rodney Stuckey","$7,000,000"
"150",146,"Boris Diaw","$7,000,000"
"151",150,"Sergio Rodriguez","$6,800,000"
"152",151,"Carl Landry","$6,750,000"
"153",152,"Ed Davis","$6,666,667"
"154",153,"Isaiah Thomas","$6,587,131"
"155",154,"Victor Oladipo","$6,552,960"
"156",155,"Jodie Meeks","$6,540,000"
"157",156,"Matt Barnes","$6,508,351"
"158",157,"Aron Baynes","$6,500,000"
"159",158,"Marco Belinelli","$6,333,333"
"160",159,"Jae Crowder","$6,286,408"
"161",160,"Tarik Black","$6,191,000"
"162",160,"Lance Thomas","$6,191,000"
"163",162,"Andrew Nicholson","$6,088,993"
"164",163,"Patrick Patterson","$6,050,000"
"165",164,"Andrew Wiggins","$6,006,600"
"166",165,"Ramon Sessions","$6,000,000"
"167",165,"Ishmael Smith","$6,000,000"
"168",165,"Patrick Beverley","$6,000,000"
"169",165,"Wayne Ellington","$6,000,000"
