"","X1","X2","X3"
"1",NA,"Player","2015/16"
"2",1,"Kobe Bryant","$25,000,000"
"3",2,"LeBron James","$22,970,500"
"4",3,"Carmelo Anthony","$22,875,000"
"5",4,"Dwight Howard","$22,359,364"
"6",5,"Joe Johnson","$22,309,344"
"7",6,"Chris Bosh","$22,192,730"
"8",7,"Kevin Durant","$21,971,850"
"9",8,"Chris Paul","$21,468,695"
"10",9,"Derrick Rose","$20,093,064"
"11",10,"Dwyane Wade","$20,000,000"
"12",11,"Brook Lopez","$19,689,000"
"13",11,"Kevin Love","$19,689,000"
"14",11,"DeAndre Jordan","$19,689,000"
"15",11,"Marc Gasol","$19,689,000"
"16",11,"LaMarcus Aldridge","$19,689,000"
"17",16,"Blake Griffin","$18,862,876"
"18",17,"Paul Millsap","$18,671,659"
"19",18,"David Lee","$17,120,776"
"20",19,"Paul George","$16,900,000"
"21",20,"Russell Westbrook","$16,744,218"
"22",21,"Jimmy Butler","$16,407,500"
"23",21,"Kyrie Irving","$16,407,500"
"24",21,"Wesley Matthews","$16,407,500"
"25",21,"Greg Monroe","$16,407,500"
"26",21,"Enes Kanter","$16,407,500"
"27",21,"Kawhi Leonard","$16,407,500"
"28",27,"Tobias Harris","$16,000,000"
"29",28,"James Harden","$15,719,062"
"30",29,"Roy Hibbert","$15,514,031"
"31",29,"Eric Gordon","$15,514,031"
"32",31,"Klay Thompson","$15,501,000"
"33",32,"Gordon Hayward","$15,409,570"
"34",33,"Chandler Parsons","$15,361,500"
"35",34,"Goran Dragic","$14,783,000"
"36",35,"DeMarcus Cousins","$14,728,844"
"37",35,"John Wall","$14,728,844"
"38",37,"Khris Middleton","$14,700,000"
"39",38,"Draymond Green","$14,260,870"
"40",39,"Tristan Thompson","$14,260,000"
"41",40,"Danilo Gallinari","$14,000,000"
"42",41,"Reggie Jackson","$13,913,044"
"43",42,"DeMarre Carroll","$13,600,000"
"44",43,"Al Jefferson","$13,500,000"
"45",43,"Eric Bledsoe","$13,500,000"
"46",43,"Brandon Knight","$13,500,000"
"47",46,"Tony Parker","$13,437,500"
"48",47,"Joakim Noah","$13,400,000"
"49",48,"JaVale McGee","$13,270,964"
"50",49,"Tyson Chandler","$13,000,000"
"51",49,"Nenê","$13,000,000"
"52",51,"Ricky Rubio","$12,700,000"
"53",52,"Robin Lopez","$12,650,000"
"54",53,"Ty Lawson","$12,444,552"
"55",54,"Rudy Gay","$12,403,101"
"56",55,"Serge Ibaka","$12,250,000"
"57",56,"Nikola Pekovic","$12,100,000"
"58",57,"Al Horford","$12,000,000"
"59",57,"Amir Johnson","$12,000,000"
"60",57,"Kemba Walker","$12,000,000"
"61",57,"Andrew Bogut","$12,000,000"
"62",57,"Kyle Lowry","$12,000,000"
"63",57,"Derrick Favors","$12,000,000"
"64",63,"Nicolas Batum","$11,860,750"
"65",64,"Andre Iguodala","$11,710,456"
"66",65,"Stephen Curry","$11,370,786"
"67",66,"Nikola Vucevic","$11,250,000"
"68",67,"Thaddeus Young","$11,235,955"
"69",67,"Kenneth Faried","$11,235,955"
"70",69,"Marcin Gortat","$11,217,391"
"71",70,"Jrue Holiday","$11,000,000"
"72",71,"Deron Williams","$10,853,761"
"73",72,"Tyreke Evans","$10,734,586"
"74",73,"Wilson Chandler","$10,449,438"
"75",74,"Monta Ellis","$10,300,000"
"76",75,"Anderson Varejao","$10,158,574"
"77",76,"Luol Deng","$10,151,612"
"78",77,"Gerald Wallace","$10,105,855"
"79",78,"Zach Randolph","$10,000,000"
"80",78,"Danny Green","$10,000,000"
"81",80,"Mike Conley","$9,680,000"
"82",81,"Rajon Rondo","$9,500,000"
"83",81,"DeMar DeRozan","$9,500,000"
"84",83,"Alec Burks","$9,213,484"
"85",84,"Omer Asik","$9,213,483"
"86",85,"Jeff Green","$9,200,000"
"87",86,"Lance Stephenson","$9,000,000"
"88",87,"Iman Shumpert","$8,988,765"
"89",88,"Tiago Splitter","$8,500,000"
"90",88,"Taj Gibson","$8,500,000"
"91",88,"Kevin Garnett","$8,500,000"
"92",88,"Ryan Anderson","$8,500,000"
"93",92,"Brandon Jennings","$8,344,497"
"94",93,"Dirk Nowitzki","$8,333,333"
"95",94,"Corey Brewer","$8,229,375"
"96",95,"Trevor Ariza","$8,200,000"
"97",96,"Channing Frye","$8,193,029"
"98",97,"Al-Farouq Aminu","$8,042,895"
"99",98,"Jeff Teague","$8,000,000"
"100",98,"George Hill","$8,000,000"
"101",98,"OJ Mayo","$8,000,000"
"102",98,"Arron Afflalo","$8,000,000"
"103",98,"Markieff Morris","$8,000,000"
"104",103,"Ersan Ilyasova","$7,900,000"
"105",104,"Avery Bradley","$7,730,337"
"106",105,"Kosta Koufos","$7,700,000"
"107",106,"Boris Diaw","$7,500,000"
"108",107,"Pau Gasol","$7,448,760"
"109",108,"Jose Calderon","$7,402,812"
"110",109,"Kevin Martin","$7,402,474"
"111",110,"JJ Redick","$7,085,000"
"112",111,"Anthony Davis","$7,070,730"
"113",112,"Marvin Williams","$7,000,000"
"114",112,"Rodney Stuckey","$7,000,000"
"115",112,"Louis Williams","$7,000,000"
"116",112,"Cory Joseph","$7,000,000"
"117",116,"Ed Davis","$6,980,802"
"118",117,"Isaiah Thomas","$6,912,869"
"119",118,"Josh Smith","$6,830,916"
"120",119,"Jae Crowder","$6,796,117"
"121",120,"Jason Thompson","$6,752,729"
"122",121,"Carl Landry","$6,750,000"
"123",122,"Greivis Vasquez","$6,600,000"
"124",123,"Aron Baynes","$6,500,000"
"125",124,"Patrick Beverley","$6,486,486"
"126",125,"Michael Kidd-Gilchrist","$6,331,403"
"127",126,"Jarrett Jack","$6,300,000"
"128",127,"Jodie Meeks","$6,270,000"
"129",128,"Patrick Patterson","$6,268,675"
"130",129,"Marco Belinelli","$6,060,606"
"131",130,"Gerald Henderson","$6,000,000"
"132",131,"Andrew Wiggins","$5,758,680"
"133",132,"Kyle Korver","$5,746,479"
"134",133,"Martell Webster","$5,713,500"
"135",134,"Karl-Anthony Towns","$5,703,600"
"136",135,"Bradley Beal","$5,694,673"
"137",136,"Courtney Lee","$5,675,000"
"138",136,"Jamal Crawford","$5,675,000"
"139",138,"JJ Hickson","$5,583,413"
"140",139,"Spencer Hawes","$5,543,725"
"141",139,"Nikola Mirotic","$5,543,725"
