"","X1","X2","X3"
"1",NA,"Player","2012/13"
"2",1,"Kobe Bryant","$27,849,000"
"3",2,"Brandon Roy","$21,459,805"
"4",3,"Dirk Nowitzki","$20,907,128"
"5",4,"Gilbert Arenas","$20,807,922"
"6",5,"Amare Stoudemire","$19,948,799"
"7",6,"Joe Johnson","$19,752,645"
"8",7,"Carmelo Anthony","$19,450,000"
"9",8,"Dwight Howard","$19,261,200"
"10",9,"Pau Gasol","$19,000,000"
"11",10,"Elton Brand","$18,160,354"
"12",11,"Chris Paul","$17,779,457"
"13",12,"Kevin Durant","$17,548,838"
"14",13,"LeBron James","$17,545,000"
"15",13,"Chris Bosh","$17,545,000"
"16",15,"Deron Williams","$17,177,795"
"17",16,"Dwyane Wade","$17,024,000"
"18",17,"Paul Pierce","$16,790,345"
"19",18,"Zach Randolph","$16,500,000"
"20",19,"Andrew Bynum","$16,473,002"
"21",20,"Rudy Gay","$16,460,532"
"22",21,"Derrick Rose","$16,402,500"
"23",22,"Rashard Lewis","$15,052,181"
"24",23,"Carlos Boozer","$15,000,000"
"25",23,"Al Jefferson","$15,000,000"
"26",25,"Baron Davis","$14,850,000"
"27",26,"Andre Iguodala","$14,718,250"
"28",27,"Manu Ginobili","$14,107,492"
"29",28,"Marc Gasol","$13,891,359"
"30",29,"Roy Hibbert","$13,668,750"
"31",29,"Kevin Love","$13,668,750"
"32",29,"Eric Gordon","$13,668,750"
"33",29,"Russell Westbrook","$13,668,750"
"34",33,"Brook Lopez","$13,668,000"
"35",34,"Tyson Chandler","$13,604,188"
"36",35,"Emeka Okafor","$13,543,250"
"37",36,"Luol Deng","$13,326,700"
"38",37,"Josh Smith","$13,200,000"
"39",38,"Andrew Bogut","$13,150,000"
"40",39,"Danny Granger","$13,058,606"
"41",40,"LaMarcus Aldridge","$13,000,000"
"42",40,"Nenê","$13,000,000"
"43",42,"Kevin Martin","$12,939,675"
"44",43,"David Lee","$12,744,000"
"45",44,"Tony Parker","$12,500,000"
"46",45,"Kevin Garnett","$12,467,532"
"47",46,"Ben Gordon","$12,400,000"
"48",47,"Al Horford","$12,000,000"
"49",47,"Kris Humphries","$12,000,000"
"50",49,"Nicolas Batum","$11,950,000"
"51",50,"Hidayet Turkoglu","$11,815,850"
"52",51,"Joakim Noah","$11,050,000"
"53",52,"Jose Calderon","$11,046,591"
"54",53,"Rajon Rondo","$11,000,000"
"55",53,"Monta Ellis","$11,000,000"
"56",55,"Corey Maggette","$10,924,138"
"57",56,"DeAndre Jordan","$10,532,977"
"58",57,"Richard Hamilton","$10,500,000"
"59",58,"Richard Jefferson","$10,164,000"
"60",59,"Stephen Jackson","$10,060,000"
"61",60,"JaVale McGee","$10,000,000"
"62",60,"David West","$10,000,000"
"63",60,"Andrea Bargnani","$10,000,000"
"64",63,"Andrei Kirilenko","$9,779,349"
"65",64,"Gerald Wallace","$9,682,435"
"66",65,"Tim Duncan","$9,638,554"
"67",66,"Danilo Gallinari","$9,439,000"
"68",67,"Andris Biedrins","$9,000,000"
"69",68,"Steve Nash","$8,900,000"
"70",69,"Ryan Anderson","$8,700,000"
"71",70,"Shawn Marion","$8,646,364"
"72",71,"Jameer Nelson","$8,600,000"
"73",72,"Devin Harris","$8,500,000"
"74",72,"Rodney Stuckey","$8,500,000"
"75",72,"Maurice Williams","$8,500,000"
"76",75,"Anderson Varejao","$8,400,000"
"77",76,"Brendan Haywood","$8,349,000"
"78",77,"Marvin Williams","$8,287,500"
"79",78,"Lamar Odom","$8,200,000"
"80",79,"Jeff Green","$8,100,000"
"81",80,"John Salmons","$8,080,000"
"82",81,"Charlie Villanueva","$8,060,000"
"83",82,"Thaddeus Young","$8,039,130"
"84",83,"Tyrus Thomas","$8,000,000"
"85",83,"Chris Kaman","$8,000,000"
"86",83,"George Hill","$8,000,000"
"87",83,"Caron Butler","$8,000,000"
"88",87,"Andray Blatche","$7,972,891"
"89",88,"Ersan Ilyasova","$7,900,000"
"90",89,"Beno Udrih","$7,810,000"
"91",90,"Kendrick Perkins","$7,800,531"
