"","X1","X2","X3"
"1",NA,"Player","2011/12"
"2",1,"Kobe Bryant","$25,244,493"
"3",2,"Vince Carter","$21,300,000"
"4",3,"Kevin Garnett","$21,247,044"
"5",4,"Tim Duncan","$21,164,619"
"6",5,"Rashard Lewis","$21,136,631"
"7",6,"Gilbert Arenas","$19,269,307"
"8",7,"Dirk Nowitzki","$19,092,873"
"9",8,"Pau Gasol","$18,714,150"
"10",9,"Carmelo Anthony","$18,518,574"
"11",10,"Amare Stoudemire","$18,217,705"
"12",11,"Dwight Howard","$18,091,770"
"13",12,"Joe Johnson","$18,038,573"
"14",13,"Richard Hamilton","$17,500,000"
"15",14,"Elton Brand","$17,059,727"
"16",15,"Deron Williams","$16,359,805"
"17",15,"Chris Paul","$16,359,805"
"18",17,"Brandon Roy","$16,032,144"
"19",18,"LeBron James","$16,022,500"
"20",18,"Chris Bosh","$16,022,500"
"21",20,"Dwyane Wade","$15,691,000"
"22",21,"Kevin Durant","$15,506,632"
"23",22,"Paul Pierce","$15,333,334"
"24",23,"Baron Davis","$15,252,181"
"25",24,"Zach Randolph","$15,200,000"
"26",25,"Antawn Jamison","$15,076,715"
"27",26,"Rudy Gay","$15,032,144"
"28",27,"Andrew Bynum","$14,900,000"
"29",28,"Chauncey Billups","$14,200,000"
"30",29,"Chris Kaman","$14,030,000"
"31",30,"Al Jefferson","$14,000,000"
"32",31,"Andre Iguodala","$13,531,750"
"33",32,"Carlos Boozer","$13,500,000"
"34",33,"Tyson Chandler","$13,107,837"
"35",34,"Nenê","$13,000,000"
"36",35,"Manu Ginobili","$12,981,038"
"37",36,"Marc Gasol","$12,922,194"
"38",37,"Emeka Okafor","$12,541,812"
"39",38,"Tony Parker","$12,500,000"
"40",39,"Josh Smith","$12,400,000"
"41",40,"LaMarcus Aldridge","$12,372,000"
"42",41,"Luol Deng","$12,325,000"
"43",42,"Danny Granger","$12,015,904"
"44",43,"Al Horford","$12,000,000"
"45",43,"Joakim Noah","$12,000,000"
"46",43,"Andrew Bogut","$12,000,000"
"47",46,"Steve Nash","$11,689,062"
"48",47,"David Lee","$11,610,000"
"49",48,"Ben Gordon","$11,600,000"
"50",49,"Kevin Martin","$11,519,840"
"51",50,"Marcus Camby","$11,227,250"
"52",51,"Jason Terry","$11,158,000"
"53",52,"Hidayet Turkoglu","$11,015,850"
"54",53,"Monta Ellis","$11,000,000"
"55",54,"Mehmet Okur","$10,890,000"
"56",55,"Corey Maggette","$10,262,069"
"57",56,"Jason Kidd","$10,121,000"
"58",57,"DeAndre Jordan","$10,079,404"
"59",58,"Rajon Rondo","$10,045,455"
"60",59,"Ray Allen","$10,000,000"
"61",59,"David West","$10,000,000"
"62",61,"Jose Calderon","$9,780,992"
"63",62,"Gerald Wallace","$9,500,000"
"64",63,"Devin Harris","$9,319,000"
"65",64,"Richard Jefferson","$9,282,000"
"66",65,"Stephen Jackson","$9,256,500"
"67",66,"Andrea Bargnani","$9,250,000"
"68",67,"Boris Diaw","$9,000,000"
"69",67,"Andris Biedrins","$9,000,000"
"70",69,"Lamar Odom","$8,900,000"
"71",70,"Luis Scola","$8,591,793"
"72",71,"Rodney Stuckey","$8,500,000"
"73",71,"Maurice Williams","$8,500,000"
"74",71,"Carl Landry","$8,500,000"
"75",71,"John Salmons","$8,500,000"
"76",75,"Paul Millsap","$8,103,435"
"77",76,"Kirk Hinrich","$8,100,000"
"78",77,"Shawn Marion","$8,022,449"
"79",78,"Kris Humphries","$8,000,000"
"80",78,"Caron Butler","$8,000,000"
"81",80,"Andre Miller","$7,807,728"
"82",81,"Jameer Nelson","$7,800,000"
"83",82,"Anderson Varejao","$7,700,000"
"84",83,"Brendan Haywood","$7,624,500"
"85",84,"Leandro Barbosa","$7,600,000"
"86",85,"James Posey","$7,595,600"
"87",86,"Arron Afflalo","$7,562,500"
"88",87,"Raymond Felton","$7,560,000"
"89",88,"Charlie Villanueva","$7,540,000"
"90",89,"Marvin Williams","$7,500,000"
"91",90,"Thaddeus Young","$7,478,261"
"92",91,"Tyrus Thomas","$7,305,765"
"93",92,"Kendrick Perkins","$7,123,626"
"94",93,"Travis Outlaw","$7,000,000"
"95",93,"Samuel Dalembert","$7,000,000"
"96",93,"Marcus Thornton","$7,000,000"
"97",96,"Derrick Rose","$6,993,708"
"98",97,"DeSagana Diop","$6,925,400"
"99",97,"Beno Udrih","$6,925,400"
"100",99,"Metta World Peace","$6,790,640"
"101",99,"Trevor Ariza","$6,790,640"
"102",99,"Marcin Gortat","$6,790,640"
"103",102,"Kwame Brown","$6,750,000"
"104",102,"JJ Redick","$6,750,000"
"105",104,"Andres Nocioni","$6,650,000"
"106",105,"Mike Conley","$6,611,571"
"107",106,"Mickael Pietrus","$6,523,166"
"108",107,"Grant Hill","$6,500,000"
"109",108,"Andray Blatche","$6,442,083"
"110",109,"Glen Davis","$6,300,000"
"111",110,"Tayshaun Prince","$6,292,135"
"112",111,"Michael Beasley","$6,262,347"
"113",112,"Jermaine O'Neal","$6,226,200"
"114",112,"Al Harrington","$6,226,200"
"115",112,"Drew Gooden","$6,226,200"
"116",115,"Wesley Matthews","$6,135,160"
"117",116,"Josh Childress","$6,000,000"
"118",117,"Francisco Garcia","$5,800,000"
"119",118,"Kyle Lowry","$5,750,000"
"120",119,"Blake Griffin","$5,731,080"
"121",120,"Luke Walton","$5,680,000"
"122",121,"OJ Mayo","$5,632,637"
"123",122,"Channing Frye","$5,600,000"
"124",123,"John Wall","$5,530,080"
"125",124,"Amir Johnson","$5,500,000"
"126",125,"Nate Robinson","$5,483,307"
"127",126,"Mike Miller","$5,400,000"
"128",127,"Jason Richardson","$5,395,000"
"129",128,"Martell Webster","$5,256,000"
"130",129,"Chuck Hayes","$5,250,000"
"131",130,"Louis Williams","$5,176,000"
"132",131,"Kyrie Irving","$5,144,280"
"133",132,"Hasheem Thabeet","$5,127,720"
"134",133,"Russell Westbrook","$5,082,416"
"135",134,"Kyle Korver","$5,000,000"
"136",134,"Jason Maxiell","$5,000,000"
"137",134,"Luc Mbah a Moute","$5,000,000"
"138",134,"Jarrett Jack","$5,000,000"
"139",134,"Jamal Crawford","$5,000,000"
"140",139,"Evan Turner","$4,947,840"
"141",140,"Darko Milicic","$4,776,500"
"142",141,"Brad Miller","$4,752,000"
"143",142,"Zaza Pachulia","$4,750,000"
"144",143,"Ronnie Brewer","$4,710,000"
"145",144,"Kevin Love","$4,609,701"
"146",145,"Linas Kleiza","$4,605,000"
"147",146,"James Harden","$4,604,760"
"148",147,"Derrick Williams","$4,602,720"
"149",148,"Nikola Pekovic","$4,503,600"
"150",149,"Jonas Jerebko","$4,500,000"
"151",150,"Derrick Favors","$4,443,360"
"152",151,"Daniel Gibson","$4,403,834"
"153",152,"Ronny Turiaf","$4,360,000"
"154",153,"Jose Juan Barea","$4,300,000"
"155",154,"Ramon Sessions","$4,257,973"
"156",155,"Brandon Bass","$4,250,000"
"157",155,"Randy Foye","$4,250,000"
"158",155,"Jared Dudley","$4,250,000"
"159",158,"Chris Andersen","$4,234,000"
"160",159,"Danilo Gallinari","$4,190,182"
"161",160,"Tyreke Evans","$4,151,640"
"162",161,"Enes Kanter","$4,133,280"
"163",162,"Charlie Bell","$4,099,920"
"164",163,"Spencer Hawes","$4,051,024"
"165",164,"Wesley Johnson","$4,006,080"
"166",165,"Jordan Farmar","$4,000,000"
"167",165,"Anthony Morrow","$4,000,000"
"168",165,"Ryan Gomes","$4,000,000"
"169",165,"Steve Blake","$4,000,000"
"170",165,"Mario Chalmers","$4,000,000"
"171",165,"Hakim Warrick","$4,000,000"
"172",171,"Matt Carroll","$3,900,000"
"173",172,"Eric Gordon","$3,831,184"
"174",173,"Dorell Wright","$3,823,000"
"175",174,"Udonis Haslem","$3,780,000"
"176",175,"Mike Dunleavy","$3,750,000"
"177",175,"Nazr Mohammed","$3,750,000"
"178",177,"Tristan Thompson","$3,726,600"
"179",178,"CJ Miles","$3,700,000"
"180",179,"Nick Young","$3,695,857"
"181",180,"Luke Ridnour","$3,680,000"
"182",181,"Tiago Splitter","$3,672,000"
"183",182,"DeMarcus Cousins","$3,627,720"
"184",183,"Joel Anthony","$3,600,000"
"185",184,"Shaun Livingston","$3,500,000"
"186",184,"Carlos Delfino","$3,500,000"
"187",184,"Chris Duhon","$3,500,000"
"188",184,"Shannon Brown","$3,500,000"
"189",188,"Ricky Rubio","$3,480,120"
"190",189,"Jonny Flynn","$3,414,720"
"191",190,"CJ Watson","$3,400,000"
"192",190,"Derek Fisher","$3,400,000"
"193",192,"Marco Belinelli","$3,377,604"
"194",193,"Timofey Mozgov","$3,343,896"
