"","X1","X2","X3"
"1",NA,"Player","2005/06"
"2",1,"Shaquille O'Neal","$20,000,000"
"3",2,"Allan Houston","$19,125,000"
"4",2,"Chris Webber","$19,125,000"
"5",4,"Michael Finley","$18,612,500"
"6",5,"Kevin Garnett","$18,000,000"
"7",6,"Stephon Marbury","$16,453,125"
"8",6,"Allen Iverson","$16,453,125"
"9",8,"Jason Kidd","$16,440,000"
"10",8,"Jermaine O'Neal","$16,440,000"
"11",10,"Brian Grant","$16,006,220"
"12",11,"Kobe Bryant","$15,946,875"
"13",12,"Tim Duncan","$15,845,156"
"14",13,"Anfernee Hardaway","$15,750,000"
"15",14,"Keith Van Horn","$15,694,250"
"16",14,"Tracy McGrady","$15,694,250"
"17",14,"Grant Hill","$15,694,250"
"18",14,"Jalen Rose","$15,694,250"
"19",18,"Eddie Jones","$14,576,250"
"20",19,"Tim Thomas","$13,975,000"
"21",20,"Antonio Davis","$13,925,000"
"22",21,"Paul Pierce","$13,843,156"
"23",21,"Vince Carter","$13,843,156"
"24",21,"Dirk Nowitzki","$13,843,156"
"25",21,"Antawn Jamison","$13,843,156"
"26",25,"Baron Davis","$13,700,000"
"27",25,"Steve Francis","$13,700,000"
"28",25,"Shawn Marion","$13,700,000"
"29",28,"Ray Allen","$13,223,140"
"30",29,"Elton Brand","$13,152,000"
"31",30,"Joe Johnson","$12,000,000"
"32",30,"Michael Redd","$12,000,000"
"33",32,"Theo Ratliff","$11,666,666"
"34",33,"Carlos Boozer","$11,593,816"
"35",34,"Mike Bibby","$11,500,000"
"36",35,"Lamar Odom","$11,465,333"
"37",36,"Pau Gasol","$10,993,000"
"38",37,"Andrei Kirilenko","$10,983,000"
"39",38,"Rasheed Wallace","$10,860,000"
"40",39,"Derek Anderson","$10,763,000"
"41",40,"Zach Randolph","$10,666,667"
"42",41,"Kenyon Martin","$10,636,364"
"43",42,"Raef LaFrentz","$10,623,288"
"44",43,"Larry Hughes","$10,344,900"
"45",44,"Gilbert Arenas","$10,243,200"
"46",45,"Richard Jefferson","$10,200,000"
"47",46,"Jamal Mashburn","$10,075,000"
"48",47,"Wally Szczerbiak","$10,000,000"
"49",48,"Doug Christie","$9,775,000"
"50",49,"Steve Nash","$9,625,000"
"51",50,"Vin Baker","$9,183,333"
"52",51,"Marcus Camby","$9,150,000"
"53",52,"Maurice Taylor","$9,100,000"
"54",53,"Tyson Chandler","$9,000,000"
"55",54,"Shandon Anderson","$8,935,000"
"56",55,"Jason Richardson","$8,888,888"
"57",56,"Brad Miller","$8,750,000"
"58",57,"Zydrunas Ilgauskas","$8,740,000"
"59",58,"Erick Dampier","$8,662,500"
"60",59,"Kelvin Cato","$8,640,000"
"61",60,"Richard Hamilton","$8,625,000"
"62",61,"Rashard Lewis","$8,571,429"
"63",62,"Jamaal Magloire","$8,533,333"
"64",63,"Aaron McKie","$8,500,000"
"65",64,"Samuel Dalembert","$8,470,000"
"66",65,"Tony Parker","$8,400,000"
"67",66,"Jerry Stackhouse","$8,367,187"
"68",67,"Mehmet Okur","$8,250,000"
"69",68,"Andre Miller","$8,100,000"
"70",69,"Bobby Simmons","$8,000,000"
"71",69,"PJ Brown","$8,000,000"
"72",69,"Bonzi Wells","$8,000,000"
"73",72,"Austin Croshere","$7,900,000"
"74",73,"Lorenzen Wright","$7,700,000"
"75",74,"Jason Williams","$7,562,500"
"76",75,"Ben Wallace","$7,500,000"
