"","X1","X2","X3"
"1",NA,"Player","2002/03"
"2",1,"Kevin Garnett","$25,200,000"
"3",2,"Shaquille O'Neal","$23,571,429"
"4",3,"Alonzo Mourning","$20,629,800"
"5",4,"Juwan Howard","$20,625,000"
"6",5,"Scottie Pippen","$19,727,524"
"7",6,"Karl Malone","$19,250,000"
"8",7,"Rasheed Wallace","$16,200,000"
"9",8,"Dikembe Mutombo","$16,105,264"
"10",9,"Allan Houston","$14,343,750"
"11",9,"Chris Webber","$14,343,750"
"12",11,"Shawn Kemp","$13,651,028"
"13",12,"Bryant Reeves","$12,999,998"
"14",13,"Gary Payton","$12,636,117"
"15",14,"Antonio McDyess","$12,600,000"
"16",15,"Shareef Abdur-Rahim","$12,375,000"
"17",15,"Antoine Walker","$12,375,000"
"18",15,"Vin Baker","$12,375,000"
"19",15,"Zydrunas Ilgauskas","$12,375,000"
"20",15,"Kobe Bryant","$12,375,000"
"21",15,"Ray Allen","$12,375,000"
"22",15,"Latrell Sprewell","$12,375,000"
"23",15,"Allen Iverson","$12,375,000"
"24",15,"Anfernee Hardaway","$12,375,000"
"25",15,"Stephon Marbury","$12,375,000"
"26",15,"Damon Stoudamire","$12,375,000"
"27",26,"Jalen Rose","$12,072,500"
"28",26,"Grant Hill","$12,072,500"
"29",26,"Tracy McGrady","$12,072,500"
"30",26,"Keith Van Horn","$12,072,500"
"31",26,"Tim Duncan","$12,072,500"
"32",31,"Reggie Miller","$12,046,473"
"33",32,"Antonio Davis","$12,000,000"
"34",33,"Michael Finley","$11,953,125"
"35",34,"Vlade Divac","$11,248,076"
"36",35,"Eddie Jones","$11,212,500"
"37",36,"Nick Van Exel","$11,061,234"
"38",37,"Brian Grant","$11,027,862"
"39",38,"Tom Gugliotta","$10,892,000"
"40",39,"Tim Thomas","$10,750,000"
"41",40,"David Robinson","$10,500,000"
"42",41,"Terrell Brandon","$10,175,000"
"43",42,"Paul Pierce","$10,067,750"
"44",42,"Dirk Nowitzki","$10,067,750"
"45",42,"Antawn Jamison","$10,067,750"
"46",42,"Vince Carter","$10,067,750"
"47",46,"Steve Smith","$9,900,000"
"48",47,"Glenn Robinson","$9,860,000"
"49",48,"Larry Johnson","$9,610,714"
"50",49,"Derrick Coleman","$9,380,000"
"51",50,"Theo Ratliff","$9,375,000"
"52",51,"Jason Kidd","$9,265,000"
"53",52,"Glen Rice","$9,200,000"
"54",53,"Kenny Anderson","$9,185,000"
"55",54,"Kerry Kittles","$8,966,667"
"56",55,"Matt Geiger","$8,768,480"
"57",56,"Mike Bibby","$8,500,000"
"58",57,"Clifford Robinson","$8,421,875"
"59",58,"Dale Davis","$8,055,000"
"60",59,"Toni Kukoc","$8,050,000"
"61",59,"Elden Campbell","$8,050,000"
"62",61,"John Stockton","$7,875,000"
"63",62,"Greg Ostertag","$7,799,996"
"64",63,"Jamal Mashburn","$7,750,000"
"65",64,"Raef LaFrentz","$7,270,000"
"66",65,"Maurice Taylor","$7,150,000"
"67",66,"Derek Anderson","$7,144,500"
"68",67,"Alan Henderson","$7,091,250"
"69",68,"PJ Brown","$7,044,800"
"70",69,"Wesley Person","$7,000,000"
"71",70,"Austin Croshere","$6,960,000"
"72",71,"Jermaine O'Neal","$6,900,000"
"73",71,"Luc Longley","$6,900,000"
"74",73,"Erick Dampier","$6,858,500"
"75",74,"Arvydas Sabonis","$6,850,000"
"76",75,"Marcus Camby","$6,750,000"
"77",75,"Ron Mercer","$6,750,000"
"78",77,"Kelvin Cato","$6,696,000"
"79",78,"Tyrone Hill","$6,600,000"
"80",79,"Bo Outlaw","$6,585,000"
"81",80,"Jerry Stackhouse","$6,375,000"
"82",81,"Bonzi Wells","$6,300,000"
"83",82,"Doug Christie","$6,250,000"
"84",83,"Rashard Lewis","$6,233,766"
"85",84,"Nick Anderson","$6,101,906"
"86",85,"Shandon Anderson","$6,100,000"
"87",86,"Michael Olowokandi","$6,061,213"
"88",87,"Lorenzen Wright","$6,050,000"
"89",88,"Chris Mills","$6,000,000"
"90",89,"Steve Nash","$5,750,000"
"91",90,"Hakeem Olajuwon","$5,694,231"
"92",91,"Eddie Robinson","$5,687,000"
"93",92,"Bob Sura","$5,639,999"
"94",93,"Tariq Abdul-Wahad","$5,625,000"
"95",93,"Predrag Stojakovic","$5,625,000"
"96",95,"Charlie Ward","$5,570,000"
"97",96,"Jason Williams","$5,500,000"
"98",96,"Michael Dickerson","$5,500,000"
"99",98,"Loy Vaught","$5,364,964"
"100",99,"Alvin Williams","$5,350,000"
"101",100,"Howard Eisley","$5,312,500"
"102",101,"Robert Horry","$5,300,000"
"103",102,"Jason Caffey","$5,250,000"
"104",102,"Jerome Williams","$5,250,000"
"105",104,"Vitaly Potapenko","$5,238,750"
"106",105,"Ben Wallace","$5,200,000"
"107",106,"Donyell Marshall","$5,186,542"
"108",107,"Christian Laettner","$5,062,500"
"109",108,"Al Harrington","$5,060,000"
"110",109,"Brent Barry","$5,040,000"
"111",110,"Danny Fortson","$5,039,068"
"112",111,"Eric Williams","$5,004,000"
"113",112,"Brevin Knight","$5,000,000"
"114",113,"Calvin Booth","$4,992,900"
"115",114,"Avery Johnson","$4,991,800"
"116",114,"Joe Smith","$4,991,800"
"117",114,"Clarence Weatherspoon","$4,991,800"
"118",114,"Todd MacCulloch","$4,991,800"
"119",114,"Ruben Patterson","$4,991,800"
"120",119,"Cuttino Mobley","$4,903,750"
"121",119,"Kurt Thomas","$4,903,750"
"122",119,"Jahidi White","$4,903,750"
"123",122,"Elton Brand","$4,895,656"
"124",123,"Sam Cassell","$4,850,000"
"125",124,"Scot Pollard","$4,826,874"
"126",125,"Brad Miller","$4,800,000"
"127",126,"Nazr Mohammed","$4,750,000"
"128",127,"Ricky Davis","$4,546,000"
"129",127,"Chauncey Billups","$4,546,000"
"130",127,"Devean George","$4,546,000"
"131",127,"Jerome James","$4,546,000"
"132",127,"Keon Clark","$4,546,000"
"133",127,"Danny Ferry","$4,546,000"
"134",127,"Larry Hughes","$4,546,000"
"135",134,"Mark Jackson","$4,530,000"
"136",135,"Corliss Williamson","$4,500,000"
"137",135,"Aaron McKie","$4,500,000"
"138",137,"Jim McIlvaine","$4,400,000"
"139",137,"Adonal Foyle","$4,400,000"
"140",139,"Steve Francis","$4,383,581"
"141",140,"Anthony Mason","$4,370,819"
"142",141,"Malik Rose","$4,370,000"
"143",142,"Rick Fox","$4,340,231"
"144",143,"Derek Strong","$4,212,000"
"145",144,"Michael Stewart","$4,160,000"
"146",145,"Eric Snow","$4,125,000"
"147",145,"Lamond Murray","$4,125,000"
"148",147,"Kenyon Martin","$4,067,160"
"149",148,"Brent Price","$4,048,000"
"150",149,"Darrell Armstrong","$4,010,000"
"151",150,"Tony Battie","$4,000,000"
"152",150,"Shawn Bradley","$4,000,000"
"153",150,"Travis Knight","$4,000,000"
"154",150,"Matt Harpring","$4,000,000"
"155",154,"Ervin Johnson","$3,998,679"
"156",155,"Kwame Brown","$3,974,760"
"157",156,"Baron Davis","$3,942,922"
"158",157,"Lindsey Hunter","$3,870,912"
"159",158,"Yao Ming","$3,858,240"
"160",159,"Zeljko Rebraca","$3,850,000"
"161",160,"Tracy Murray","$3,740,000"
"162",161,"Anthony Carter","$3,656,250"
"163",162,"Stromile Swift","$3,639,000"
"164",163,"Chucky Atkins","$3,600,000"
"165",163,"David Wesley","$3,600,000"
"166",165,"Marc Jackson","$3,575,000"
"167",166,"Lamar Odom","$3,557,585"
"168",167,"Tyson Chandler","$3,556,200"
"169",168,"Bruce Bowen","$3,550,000"
"170",169,"Jay Williams","$3,451,920"
"171",170,"Jud Buechler","$3,450,000"
"172",171,"Antonio Daniels","$3,375,000"
"173",172,"Anthony Peeler","$3,350,812"
"174",173,"Lawrence Funderburke","$3,300,000"
"175",174,"Darius Miles","$3,267,960"
