"","X1","X2","X3"
"1",NA,"Player","2007/08"
"2",1,"Kevin Garnett","$23,750,000"
"3",2,"Michael Finley","$21,696,750"
"4",3,"Shaquille O'Neal","$20,000,000"
"5",4,"Jason Kidd","$19,728,000"
"6",4,"Jermaine O'Neal","$19,728,000"
"7",6,"Chris Webber","$19,602,173"
"8",7,"Kobe Bryant","$19,490,625"
"9",8,"Tim Duncan","$19,014,188"
"10",9,"Tracy McGrady","$19,014,187"
"11",10,"Allen Iverson","$19,012,500"
"12",10,"Stephon Marbury","$19,012,500"
"13",12,"Steve Francis","$17,500,000"
"14",13,"Baron Davis","$16,440,000"
"15",13,"Shawn Marion","$16,440,000"
"16",15,"Paul Pierce","$16,360,094"
"17",15,"Dirk Nowitzki","$16,360,094"
"18",15,"Antawn Jamison","$16,360,094"
"19",18,"Ray Allen","$16,000,000"
"20",19,"Ben Wallace","$15,500,000"
"21",20,"Elton Brand","$15,344,000"
"22",21,"Rashard Lewis","$14,880,000"
"23",22,"Michael Redd","$14,520,000"
"24",23,"Yao Ming","$13,762,775"
"25",23,"Amare Stoudemire","$13,762,775"
"26",25,"Pau Gasol","$13,735,000"
"27",25,"Andrei Kirilenko","$13,735,000"
"28",27,"Mike Bibby","$13,500,000"
"29",28,"Joe Johnson","$13,488,377"
"30",29,"Zach Randolph","$13,333,333"
"31",30,"Vince Carter","$13,320,000"
"32",31,"Kenyon Martin","$13,250,000"
"33",32,"Lamar Odom","$13,248,596"
"34",33,"LeBron James","$13,041,250"
"35",33,"Carmelo Anthony","$13,041,250"
"36",33,"Dwyane Wade","$13,041,250"
"37",36,"Wally Szczerbiak","$12,775,000"
"38",37,"Rasheed Wallace","$12,540,000"
"39",38,"Chris Bosh","$12,455,000"
"40",39,"Raef LaFrentz","$12,440,787"
"41",40,"Richard Jefferson","$12,200,000"
"42",41,"Larry Hughes","$12,000,084"
"43",42,"Gilbert Arenas","$11,950,400"
"44",43,"Theo Ratliff","$11,666,666"
"45",44,"Predrag Stojakovic","$11,664,000"
"46",45,"Steve Nash","$11,375,000"
"47",46,"Carlos Boozer","$11,260,483"
"48",47,"Kirk Hinrich","$11,250,000"
"49",47,"Marcus Camby","$11,250,000"
"50",49,"Jason Richardson","$11,111,110"
"51",50,"Derek Fisher","$10,723,900"
"52",51,"David West","$10,650,000"
"53",52,"Erick Dampier","$10,590,500"
"54",53,"Brad Miller","$10,500,000"
"55",53,"Tony Parker","$10,500,000"
"56",55,"Tyson Chandler","$10,250,000"
"57",55,"Samuel Dalembert","$10,250,000"
"58",57,"Adonal Foyle","$10,157,090"
"59",58,"Zydrunas Ilgauskas","$10,142,156"
"60",59,"Chauncey Billups","$10,000,000"
"61",59,"Richard Hamilton","$10,000,000"
"62",61,"Gerald Wallace","$9,500,000"
"63",62,"Andre Miller","$9,366,666"
"64",63,"Bobby Simmons","$9,280,000"
"65",64,"Troy Murphy","$9,206,349"
"66",65,"Manu Ginobili","$9,079,811"
"67",66,"Kwame Brown","$9,075,000"
"68",67,"Josh Howard","$9,000,000"
"69",67,"Boris Diaw","$9,000,000"
"70",69,"Eddy Curry","$8,947,543"
"71",70,"Jason Williams","$8,937,500"
"72",71,"Jason Terry","$8,898,000"
"73",72,"Nenê","$8,840,000"
"74",73,"Tayshaun Prince","$8,675,620"
"75",74,"Chris Kaman","$8,600,000"
"76",75,"Andres Nocioni","$8,500,000"
"77",75,"Mehmet Okur","$8,500,000"
"78",77,"Al Harrington","$8,425,625"
"79",78,"Mike Miller","$8,376,194"
"80",79,"Cuttino Mobley","$8,350,000"
"81",80,"Antoine Walker","$8,329,640"
"82",81,"Darius Miles","$8,250,000"
"83",82,"Mike Dunleavy","$8,219,008"
"84",83,"Caron Butler","$8,218,990"
"85",84,"Quentin Richardson","$8,105,500"
"86",85,"Juwan Howard","$8,094,997"
"87",86,"Kurt Thomas","$8,091,188"
"88",87,"TJ Ford","$8,000,000"
"89",88,"Jamal Crawford","$7,920,000"
"90",89,"Mark Blount","$7,901,040"
"91",90,"Kenny Thomas","$7,875,000"
"92",91,"Radoslav Nesterovic","$7,840,000"
"93",92,"Aaron McKie","$7,750,000"
"94",92,"Maurice Williams","$7,750,000"
"95",94,"Jerome Williams","$7,639,400"
"96",95,"Metta World Peace","$7,400,000"
"97",96,"Troy Hudson","$7,172,590"
"98",97,"Malik Rose","$7,101,250"
"99",98,"Corey Maggette","$7,000,000"
"100",99,"Ricky Davis","$6,819,000"
"101",100,"Jerry Stackhouse","$6,750,000"
"102",101,"Eric Snow","$6,703,125"
"103",102,"Stephen Jackson","$6,630,000"
"104",103,"Darko Milicic","$6,500,000"
"105",103,"Chris Wilcox","$6,500,000"
"106",103,"Luke Ridnour","$6,500,000"
"107",106,"Drew Gooden","$6,453,416"
"108",107,"Antonio McDyess","$6,373,900"
"109",107,"Marquis Daniels","$6,373,900"
"110",107,"Hidayet Turkoglu","$6,373,900"
"111",107,"Etan Thomas","$6,373,900"
"112",111,"Speedy Claxton","$6,306,182"
"113",112,"Jamaal Tinsley","$6,300,000"
"114",113,"Sam Cassell","$6,150,000"
"115",114,"Jason Collins","$6,100,000"
"116",115,"Dwight Howard","$6,061,274"
"117",116,"Udonis Haslem","$6,050,000"
"118",116,"Marko Jaric","$6,050,000"
"119",118,"Donyell Marshall","$6,016,965"
"120",119,"Matt Harpring","$6,000,000"
"121",120,"Shane Battier","$5,883,600"
"122",121,"Brian Cardinal","$5,850,000"
"123",122,"Greg Buckner","$5,830,000"
"124",123,"Stromile Swift","$5,800,000"
"125",123,"Jerome James","$5,800,000"
"126",123,"Earl Watson","$5,800,000"
"127",123,"Shareef Abdur-Rahim","$5,800,000"
"128",123,"Antonio Daniels","$5,800,000"
"129",128,"Joel Przybilla","$5,762,575"
"130",129,"Dan Gadzuric","$5,751,130"
"131",130,"Nick Collison","$5,750,000"
"132",131,"Bobby Jackson","$5,670,000"
"133",132,"Nazr Mohammed","$5,632,200"
"134",132,"Tim Thomas","$5,632,200"
"135",132,"Vladimir Radmanovic","$5,632,200"
"136",132,"Mike James","$5,632,200"
"137",132,"Jared Jeffries","$5,632,200"
"138",137,"Leandro Barbosa","$5,600,000"
"139",138,"Brent Barry","$5,544,370"
"140",139,"Jeff Foster","$5,500,000"
"141",140,"Matt Carroll","$5,450,000"
"142",141,"Emeka Okafor","$5,427,307"
"143",142,"Anderson Varejao","$5,356,000"
"144",142,"Morris Peterson","$5,356,000"
"145",142,"Mikki Moore","$5,356,000"
"146",142,"Jason Kapono","$5,356,000"
"147",146,"Joe Smith","$5,200,000"
"148",146,"Tony Battie","$5,200,000"
"149",148,"Desmond Mason","$5,000,000"
"150",148,"Brendan Haywood","$5,000,000"
"151",150,"Andrew Bogut","$4,991,520"
"152",151,"Eduardo Najera","$4,952,380"
"153",152,"Damon Stoudamire","$4,906,438"
"154",153,"Ben Gordon","$4,881,669"
"155",154,"Andrea Bargnani","$4,838,880"
"156",155,"John Salmons","$4,752,000"
"157",156,"Raja Bell","$4,750,000"
"158",157,"Greg Oden","$4,662,000"
"159",158,"Rafer Alston","$4,550,000"
"160",159,"Alvin Williams","$4,516,484"
"161",160,"Kendrick Perkins","$4,480,912"
"162",161,"Marvin Williams","$4,466,040"
"163",162,"Shaun Livingston","$4,404,629"
"164",163,"Kyle Korver","$4,400,000"
"165",164,"Trenton Hassell","$4,350,000"
"166",164,"Anthony Parker","$4,350,000"
"167",166,"LaMarcus Aldridge","$4,329,360"
"168",167,"Reggie Evans","$4,320,000"
"169",168,"Keith Van Horn","$4,300,000"
"170",169,"Aleksandar Pavlovic","$4,250,000"
"171",169,"Steve Blake","$4,250,000"
"172",171,"Damon Jones","$4,172,432"
"173",172,"Kevin Durant","$4,171,200"
"174",173,"Bruce Bowen","$4,125,000"
"175",174,"Carlos Arroyo","$4,100,000"
"176",175,"Deron Williams","$4,010,640"
"177",176,"Zaza Pachulia","$4,000,000"
"178",176,"Jamaal Magloire","$4,000,000"
"179",176,"Luke Walton","$4,000,000"
"180",176,"Gordan Giricek","$4,000,000"
"181",176,"Travis Outlaw","$4,000,000"
"182",176,"Jorge Garbajosa","$4,000,000"
"183",182,"Devin Harris","$3,995,003"
"184",183,"Marcus Banks","$3,966,207"
"185",184,"Darius Songaila","$3,942,000"
"186",185,"Dan Dickau","$3,916,706"
"187",186,"Adam Morrison","$3,887,880"
"188",187,"Bob Sura","$3,840,000"
"189",188,"Pat Garrity","$3,818,750"
"190",189,"Al Horford","$3,745,800"
"191",190,"Amir Johnson","$3,666,666"
"192",191,"Josh Childress","$3,631,449"
"193",192,"Robert Horry","$3,630,000"
"194",193,"Chris Paul","$3,615,960"
"195",194,"Fabricio Oberto","$3,600,000"
"196",195,"Keyon Dooling","$3,596,000"
"197",196,"Tyrus Thomas","$3,505,320"
"198",197,"Brian Cook","$3,500,000"
"199",197,"Tyronn Lue","$3,500,000"
"200",199,"Mickael Pietrus","$3,470,770"
"201",200,"Ira Newble","$3,441,900"
"202",200,"Kevin Ollie","$3,441,900"
"203",202,"Mike Conley","$3,377,160"
"204",203,"Luol Deng","$3,320,339"
"205",204,"Rasual Butler","$3,315,000"
"206",205,"Fred Jones","$3,300,000"
"207",206,"Raymond Felton","$3,274,440"
"208",207,"Lorenzen Wright","$3,250,000"
"209",208,"Chris Duhon","$3,248,000"
"210",208,"Steven Hunter","$3,248,000"
"211",210,"James Posey","$3,206,000"
"212",211,"Shelden Williams","$3,174,240"
"213",212,"Michael Doleac","$3,120,000"
"214",213,"Trevor Ariza","$3,100,000"
"215",213,"Charlie Bell","$3,100,000"
"216",215,"Willie Green","$3,094,000"
"217",216,"Jeff Green","$3,058,200"
"218",217,"Brian Scalabrine","$3,000,000"
"219",217,"Chucky Atkins","$3,000,000"
"220",217,"Matt Barnes","$3,000,000"
"221",217,"Jake Voskuhl","$3,000,000"
"222",217,"Francisco Elson","$3,000,000"
"223",222,"Martell Webster","$2,974,080"
"224",223,"Luis Scola","$2,910,000"
"225",224,"Eddie Griffin","$2,900,000"
"226",224,"Damien Wilkins","$2,900,000"
"227",224,"James Jones","$2,900,000"
"228",227,"Brandon Roy","$2,883,120"
"229",228,"Anthony Johnson","$2,860,000"
"230",229,"Andre Iguodala","$2,804,889"
"231",230,"Yi Jianlian","$2,777,760"
"232",231,"Alonzo Mourning","$2,762,500"
"233",232,"Primoz Brezec","$2,750,000"
"234",233,"Charlie Villanueva","$2,715,000"
"235",234,"Matt Bonner","$2,678,000"
"236",235,"Andris Biedrins","$2,636,696"
"237",236,"Randy Foye","$2,631,840"
"238",237,"Robert Swift","$2,601,113"
"239",238,"Sebastian Telfair","$2,562,426"
"240",239,"Juan Dixon","$2,550,000"
"241",240,"Corey Brewer","$2,535,720"
"242",241,"Beno Udrih","$2,535,445"
"243",242,"Kris Humphries","$2,522,913"
"244",243,"Bostjan Nachbar","$2,500,000"
"245",243,"Chris Mihm","$2,500,000"
"246",245,"Channing Frye","$2,487,240"
"247",246,"Didier Ilunga-Mbenga","$2,483,569"
"248",247,"Al Jefferson","$2,480,885"
"249",248,"Jose Calderon","$2,471,604"
"250",249,"Andray Blatche","$2,470,000"
"251",250,"Keith Bogans","$2,440,000"
"252",251,"Mark Madsen","$2,420,000"
"253",252,"Rudy Gay","$2,411,160"
"254",253,"Othella Harrington","$2,376,000"
"255",254,"Devean George","$2,369,111"
"256",255,"Kirk Snyder","$2,358,433"
"257",256,"Jackie Butler","$2,350,000"
"258",256,"Jarron Collins","$2,350,000"
"259",258,"Brandan Wright","$2,323,080"
"260",259,"Jason Hart","$2,300,000"
"261",260,"Ike Diogu","$2,286,360"
"262",261,"Bonzi Wells","$2,284,200"
"263",262,"Lindsey Hunter","$2,250,000"
"264",262,"Smush Parker","$2,250,000"
"265",264,"Josh Smith","$2,243,543"
"266",265,"Patrick O'Bryant","$2,216,400"
"267",266,"Andrew Bynum","$2,172,000"
"268",267,"DeSagana Diop","$2,146,000"
"269",268,"Joakim Noah","$2,135,400"
"270",269,"JR Smith","$2,134,067"
"271",270,"Saer Sene","$2,105,520"
"272",271,"Dorell Wright","$2,040,746"
"273",272,"Spencer Hawes","$2,028,600"
"274",273,"JJ Redick","$2,000,160"
"275",274,"Jameer Nelson","$1,961,609"
"276",275,"Walter Herrmann","$1,944,000"
"277",275,"Vassilis Spanoulis","$1,944,000"
"278",277,"Viktor Khryapa","$1,928,598"
"279",278,"Acie Law","$1,927,080"
"280",279,"Hilton Armstrong","$1,900,200"
"281",280,"Ronald Murray","$1,890,000"
"282",280,"Aaron Williams","$1,890,000"
"283",282,"Nenad Krstic","$1,889,760"
"284",282,"Delonte West","$1,889,760"
"285",284,"Tony Allen","$1,868,141"
"286",284,"Carlos Delfino","$1,868,141"
"287",286,"Sean May","$1,862,160"
"288",287,"Thaddeus Young","$1,830,720"
"289",288,"Eddie Jones","$1,830,000"
"290",288,"Jannero Pargo","$1,830,000"
"291",288,"Grant Hill","$1,830,000"
"292",288,"Maceo Baston","$1,830,000"
"293",292,"Kevin Martin","$1,808,121"
"294",293,"Thabo Sefolosha","$1,805,160"
"295",294,"Kosta Perovic","$1,800,000"
"296",295,"Rashad McCants","$1,769,160"
"297",296,"Sasha Vujacic","$1,756,951"
"298",297,"Chuck Hayes","$1,750,000"
"299",298,"Maurice Evans","$1,740,000"
"300",299,"Julian Wright","$1,739,160"
"301",300,"David Harrison","$1,734,316"
"302",301,"Ronnie Brewer","$1,715,040"
"303",302,"Antoine Wright","$1,680,600"
"304",303,"Al Thornton","$1,652,280"
"305",304,"Cedric Simmons","$1,629,120"
"306",305,"Brevin Knight","$1,600,000"
"307",306,"Joey Graham","$1,596,600"
"308",307,"Adrian Griffin","$1,593,000"
"309",308,"Rodney Stuckey","$1,569,600"
"310",309,"Rodney Carney","$1,547,760"
"311",310,"Danny Granger","$1,516,800"
"312",311,"Eddie House","$1,500,000"
"313",311,"Travis Diener","$1,500,000"
"314",313,"Nick Young","$1,491,240"
"315",314,"Shawne Williams","$1,470,360"
"316",315,"Gerald Green","$1,440,960"
"317",316,"Justin Reed","$1,436,500"
"318",317,"Sean Williams","$1,416,600"
"319",318,"Hakim Warrick","$1,376,040"
"320",319,"Marco Belinelli","$1,345,800"
"321",319,"Oleksiy Pecherov","$1,345,800"
"322",321,"Quincy Douby","$1,333,920"
"323",322,"Javaris Crittenton","$1,285,200"
"324",323,"Renaldo Balkman","$1,280,640"
"325",324,"Nate Robinson","$1,268,160"
"326",325,"Jason Smith","$1,233,840"
"327",326,"Rajon Rondo","$1,229,280"
"328",327,"Jacque Vaughn","$1,219,950"
"329",328,"Scot Pollard","$1,219,590"
"330",328,"Darrell Armstrong","$1,219,590"
"331",328,"Derek Anderson","$1,219,590"
"332",328,"Jeff McInnis","$1,219,590"
"333",328,"Austin Croshere","$1,219,590"
"334",328,"Dikembe Mutombo","$1,219,590"
"335",328,"Eric Piatkowski","$1,219,590"
"336",328,"Darrick Martin","$1,219,590"
"337",336,"Jarrett Jack","$1,217,400"
"338",337,"Devin Brown","$1,200,000"
"339",337,"Jarvis Hayes","$1,200,000"
"340",339,"Marcus Williams","$1,193,090"
"341",340,"Daequan Cook","$1,184,400"
"342",341,"Francisco Garcia","$1,168,800"
"343",342,"Jared Dudley","$1,137,000"
"344",343,"Josh Boone","$1,133,040"
"345",344,"Luther Head","$1,122,000"
"346",345,"Brian Skinner","$1,108,718"
"347",346,"Anthony Carter","$1,103,225"
"348",346,"Calvin Booth","$1,103,225"
"349",348,"Ronnie Price","$1,100,000"
"350",349,"Wilson Chandler","$1,091,640"
"351",350,"Kyle Lowry","$1,087,680"
"352",351,"Bernard Robinson","$1,080,000"
"353",351,"Shavlik Randolph","$1,080,000"
"354",353,"Johan Petro","$1,077,120"
"355",354,"Shannon Brown","$1,044,120"
"356",355,"Jason Maxiell","$1,041,360"
"357",356,"Michael Ruffin","$1,033,930"
"358",356,"Ryan Bowen","$1,033,930"
"359",356,"Sean Marks","$1,033,930"
"360",356,"DeShawn Stevenson","$1,033,930"
"361",360,"Linas Kleiza","$1,011,360"
"362",361,"Jordan Farmar","$1,009,560"
"363",362,"Morris Almond","$1,005,960"
"364",363,"Ime Udoka","$1,000,000"
"365",364,"Malik Allen","$998,398"
"366",365,"David Lee","$990,600"
"367",366,"Maurice Ager","$974,400"
"368",367,"Earl Barron","$973,328"
"369",368,"Aaron Brooks","$972,720"
"370",369,"Mardy Collins","$967,320"
"371",370,"Arron Afflalo","$944,520"
"372",371,"Ian Mahinmi","$938,760"
"373",372,"Alando Tucker","$931,920"
"374",373,"Melvin Ely","$895,341"
"375",374,"Mile Ilic","$864,000"
"376",375,"Justin Williams","$862,456"
"377",376,"Kareem Rush","$854,957"
"378",377,"Jeremy Richardson","$850,726"
"379",378,"Casey Jacobsen","$826,269"
"380",379,"Ronald Dupree","$826,046"
"381",379,"Quinton Ross","$826,046"
"382",379,"Royal Ivey","$826,046"
"383",382,"Sergio Rodriguez","$817,000"
"384",383,"Randolph Morris","$810,000"
"385",384,"Mickael Gelabale","$802,000"
"386",385,"Josh Powell","$800,000"
"387",386,"Roger Mason","$798,328"
"388",387,"Salim Stoudamire","$783,000"
"389",388,"Billy Thomas","$775,426"
"390",389,"Bobby Jones","$773,388"
"391",390,"Dwayne Jones","$770,610"
"392",390,"Brandon Bass","$770,610"
"393",390,"Monta Ellis","$770,610"
"394",390,"Stephen Graham","$770,610"
"395",390,"Ronny Turiaf","$770,610"
"396",390,"Ryan Gomes","$770,610"
"397",390,"Louis Williams","$770,610"
"398",390,"Von Wafer","$770,610"
"399",390,"CJ Miles","$770,610"
"400",399,"Dahntay Jones","$753,767"
"401",400,"Kyrylo Fesenko","$750,000"
"402",401,"Solomon Jones","$729,000"
"403",402,"Andre Brown","$711,517"
"404",402,"Awvee Storey","$711,517"
"405",404,"Leon Powe","$687,456"
"406",404,"Ryan Hollins","$687,456"
"407",404,"Daniel Gibson","$687,456"
"408",404,"Jose Juan Barea","$687,456"
"409",404,"Yakhouba Diawara","$687,456"
"410",404,"Kelenna Azubuike","$687,456"
"411",404,"Steve Novak","$687,456"
"412",404,"Andre Owens","$687,456"
"413",404,"Paul Davis","$687,456"
"414",404,"Marcus Vinicius","$687,456"
"415",404,"Chris Quinn","$687,456"
"416",404,"Alexander Johnson","$687,456"
"417",404,"David Noel","$687,456"
"418",404,"Craig Smith","$687,456"
"419",404,"James Augustine","$687,456"
"420",404,"Juaquin Hawkins","$687,456"
"421",404,"Paul Millsap","$687,456"
"422",421,"Gabe Pruitt","$650,000"
"423",422,"Richie Frahm","$623,694"
"424",423,"Juan Carlos Navarro","$538,090"
"425",424,"Earl Boykins","$533,572"
"426",425,"Clifford Robinson","$500,000"
"427",425,"Arvydas Macijauskas","$500,000"
"428",427,"Mario West","$427,163"
"429",427,"Glen Davis","$427,163"
"430",427,"Jermareo Davidson","$427,163"
"431",427,"Aaron Gray","$427,163"
"432",427,"Demetris Nichols","$427,163"
"433",427,"JamesOn Curry","$427,163"
"434",427,"Nick Fazekas","$427,163"
"435",427,"Taurean Green","$427,163"
"436",427,"Cheikh Samb","$427,163"
"437",427,"Carl Landry","$427,163"
"438",427,"Adam Haluska","$427,163"
"439",427,"Coby Karl","$427,163"
"440",427,"Joel Anthony","$427,163"
"441",427,"Ramon Sessions","$427,163"
"442",427,"Chris Richard","$427,163"
"443",427,"Marcin Gortat","$427,163"
"444",427,"Herbert Hill","$427,163"
"445",427,"D.J. Strawberry","$427,163"
"446",427,"Josh McRoberts","$427,163"
"447",427,"Jamario Moon","$427,163"
"448",427,"Dominic McGuire","$427,163"
"449",448,"Anfernee Hardaway","$320,142"
"450",449,"Ruben Patterson","$304,897"
"451",450,"Linton Johnson","$283,953"
"452",451,"Luke Jackson","$279,415"
"453",452,"Keith Langford","$272,316"
"454",453,"Kaniel Dickens","$264,897"
"455",454,"David Wesley","$250,000"
"456",455,"Mike Wilks","$229,432"
"457",456,"Tarence Kinsey","$219,533"
"458",457,"Bo Outlaw","$160,071"
"459",458,"Darius Washington","$154,847"
"460",459,"Eddie Gill","$151,089"
"461",459,"Jelani McCoy","$151,089"
"462",461,"Brandon Wallace","$130,819"
"463",462,"CJ Watson","$125,479"
"464",463,"Courtney Sims","$112,130"
"465",464,"Darryl Watkins","$109,461"
"466",465,"Thomas Gardner","$101,451"
"467",466,"Orien Greene","$77,061"
"468",467,"Guillermo Diaz","$56,065"
"469",468,"Stephane Lasme","$48,056"
"470",469,"DerMarr Johnson","$42,203"
