"","X1","X2","X3","X4","X5","X6","X7","X8"
"278",277,"Seth Curry","$2,795,000","$0","$0","$0","$0","$0"
"279",278,"Cedi Osman","$2,775,000","$2,907,143","$0","$0","$0","$0"
"280",279,"Sam Dekker","$2,760,094","$3,916,574","$0","$0","$0","$0"
"281",280,"Troy Brown","$2,752,680","$3,223,680","$3,377,160","$5,177,186","$7,237,706","$0"
"282",281,"Guerschon Yabusele","$2,667,600","$3,117,240","$4,781,846","$6,718,494","$0","$0"
"283",281,"Justin Patton","$2,667,600","$0","$0","$0","$0","$0"
"284",283,"Domantas Sabonis","$2,659,800","$3,529,554","$4,831,960","$0","$0","$0"
"285",284,"Jerian Grant","$2,639,313","$3,763,661","$0","$0","$0","$0"
"286",285,"Zhaire Smith","$2,615,160","$3,062,760","$3,208,680","$4,922,115","$6,915,571","$0"
"287",286,"Delon Wright","$2,536,898","$3,635,375","$0","$0","$0","$0"
"288",287,"DJ Wilson","$2,534,280","$2,961,120","$4,548,280","$6,422,172","$0","$0"
"289",288,"Taurean Prince","$2,526,840","$3,481,985","$4,791,212","$0","$0","$0"
"290",288,"Dario Saric","$2,526,840","$3,481,985","$4,791,212","$0","$0","$0"
"291",290,"Justin Anderson","$2,516,047","$3,625,625","$0","$0","$0","$0"
"292",291,"Shelvin Mack","$2,512,601","$0","$0","$0","$0","$0"
"293",292,"Reggie Bullock","$2,500,000","$0","$0","$0","$0","$0"
"294",292,"Manu Ginobili","$2,500,000","$0","$0","$0","$0","$0"
"295",294,"Bobby Portis","$2,494,346","$3,611,813","$0","$0","$0","$0"
"296",295,"Dante Cunningham","$2,487,000","$0","$0","$0","$0","$0"
"297",296,"Donte DiVincenzo","$2,484,360","$2,909,640","$3,048,000","$4,681,728","$6,610,599","$0"
"298",297,"Rondae Hollis-Jefferson","$2,470,356","$3,594,369","$0","$0","$0","$0"
"299",298,"Tyus Jones","$2,444,052","$3,573,204","$0","$0","$0","$0"
"300",299,"Jarell Martin","$2,416,221","$0","$0","$0","$0","$0"
"301",300,"TJ Leaf","$2,407,560","$2,813,280","$4,326,825","$6,139,764","$0","$0"
"302",301,"Georgios Papagiannis","$2,400,480","$0","$0","$0","$0","$0"
"303",302,"Vince Carter","$2,393,887","$0","$0","$0","$0","$0"
"304",302,"Channing Frye","$2,393,887","$0","$0","$0","$0","$0"
"305",302,"Devin Harris","$2,393,887","$0","$0","$0","$0","$0"
"306",302,"Jose Calderon","$2,393,887","$0","$0","$0","$0","$0"
"307",302,"Zaza Pachulia","$2,393,887","$0","$0","$0","$0","$0"
"308",302,"JaVale McGee","$2,393,887","$0","$0","$0","$0","$0"
"309",302,"Udonis Haslem","$2,393,887","$0","$0","$0","$0","$0"
"310",302,"Dwyane Wade","$2,393,887","$0","$0","$0","$0","$0"
"311",302,"Raymond Felton","$2,393,887","$0","$0","$0","$0","$0"
"312",302,"Amir Johnson","$2,393,887","$0","$0","$0","$0","$0"
"313",302,"Jeff Green","$2,393,887","$0","$0","$0","$0","$0"
"314",313,"Lonnie Walker","$2,360,160","$2,764,200","$2,895,720","$4,453,617","$6,319,683","$0"
"315",314,"John Collins","$2,299,080","$2,686,560","$4,137,302","$5,899,793","$0","$0"
"316",315,"Denzel Valentine","$2,280,600","$3,377,568","$4,698,197","$0","$0","$0"
"317",316,"Larry Nance Jr","$2,272,390","$12,727,273","$11,709,091","$10,690,909","$0","$0"
"318",317,"Kevin Huerter","$2,250,960","$2,636,280","$2,761,920","$4,253,357","$6,065,287","$0"
"319",318,"Monta Ellis","$2,245,400","$2,245,400","$2,245,400","$2,245,400","$0","$0"
"320",319,"Harry Giles","$2,207,040","$2,578,800","$3,976,510","$5,698,338","$0","$0"
"321",320,"Darius Miller","$2,205,000","$0","$0","$0","$0","$0"
"322",321,"Omri Casspi","$2,176,260","$0","$0","$0","$0","$0"
"323",321,"Derrick Rose","$2,176,260","$0","$0","$0","$0","$0"
"324",323,"Juan Hernangomez","$2,166,360","$3,321,029","$4,642,799","$0","$0","$0"
"325",324,"Jonas Jerebko","$2,165,481","$0","$0","$0","$0","$0"
"326",324,"Quincy Pondexter","$2,165,481","$0","$0","$0","$0","$0"
"327",324,"Greg Monroe","$2,165,481","$0","$0","$0","$0","$0"
"328",327,"Josh Okogie","$2,163,600","$2,533,920","$2,654,520","$4,093,269","$5,865,655","$0"
"329",328,"Terrance Ferguson","$2,118,840","$2,475,840","$3,944,013","$5,683,323","$0","$0"
"330",329,"Raul Neto","$2,100,000","$2,100,000","$0","$0","$0","$0"
"331",330,"Grayson Allen","$2,076,960","$2,432,520","$2,548,440","$4,059,664","$5,849,977","$0"
"332",331,"Jarrett Allen","$2,034,120","$2,376,840","$3,909,902","$5,661,538","$0","$0"
"333",332,"Isaiah Thomas","$2,029,463","$0","$0","$0","$0","$0"
"334",333,"Spencer Hawes","$2,007,058","$2,007,058","$0","$0","$0","$0"
"335",334,"Torrey Craig","$2,000,000","$2,000,000","$0","$0","$0","$0"
"336",334,"Cole Aldrich","$2,000,000","$0","$0","$0","$0","$0"
"337",336,"Chandler Hutchison","$1,991,520","$2,332,320","$2,443,440","$4,019,459","$5,820,176","$0"
"338",337,"Ante Zizic","$1,952,760","$2,281,800","$3,872,214","$5,634,072","$0","$0"
"339",337,"OG Anunoby","$1,952,760","$2,281,800","$3,872,215","$5,634,072","$0","$0"
"340",339,"Shabazz Napier","$1,942,422","$1,845,301","$0","$0","$0","$0"
"341",340,"Aaron Holiday","$1,914,480","$2,241,960","$2,348,880","$3,986,049","$5,799,701","$0"
"342",341,"Timothe Luwawu","$1,880,268","$0","$0","$0","$0","$0"
"343",342,"Tyler Lydon","$1,874,640","$0","$0","$0","$0","$0"
"344",343,"Henry Ellenson","$1,857,480","$0","$0","$0","$0","$0"
"345",344,"Anfernee Simons","$1,837,800","$2,152,440","$2,254,920","$3,943,855","$5,765,916","$0"
"346",345,"Trey Burke","$1,795,015","$0","$0","$0","$0","$0"
"347",346,"Malik Beasley","$1,773,840","$2,731,713","$3,895,423","$0","$0","$0"
"348",347,"Moritz Wagner","$1,764,240","$2,066,040","$2,164,680","$3,898,588","$5,727,026","$0"
"349",348,"Nerlens Noel","$1,757,429","$1,988,119","$0","$0","$0","$0"
"350",348,"Michael Carter-Williams","$1,757,429","$0","$0","$0","$0","$0"
"351",348,"Ian Clark","$1,757,429","$0","$0","$0","$0","$0"
"352",351,"Caleb Swanigan","$1,740,000","$2,033,160","$3,665,787","$5,410,702","$0","$0"
"353",351,"Furkan Korkmaz","$1,740,000","$0","$0","$0","$0","$0"
"354",353,"Landry Shamet","$1,705,920","$1,997,640","$2,092,920","$3,773,534","$5,569,737","$0"
"355",354,"Caris LeVert","$1,702,800","$2,625,717","$3,762,653","$0","$0","$0"
"356",355,"Rodions Kurucs","$1,690,000","$1,774,500","$1,859,000","$1,943,500","$0","$0"
"357",355,"Jonah Bolden","$1,690,000","$1,698,450","$1,766,550","$1,845,000","$0","$0"
"358",357,"Kyle Kuzma","$1,689,840","$1,974,600","$3,562,178","$5,282,711","$0","$0"
"359",358,"Tony Bradley","$1,679,520","$1,962,360","$3,542,060","$5,277,669","$0","$0"
"360",359,"Derrick White","$1,667,160","$1,948,080","$3,516,284","$5,274,427","$0","$0"
"361",360,"Kyle Singler","$1,665,333","$1,665,333","$1,665,333","$0","$0","$0"
"362",361,"Robert Williams","$1,656,600","$1,940,160","$2,032,440","$3,666,521","$5,437,451","$0"
"363",362,"Spencer Dinwiddie","$1,656,092","$0","$0","$0","$0","$0"
"364",362,"MarShon Brooks","$1,656,092","$0","$0","$0","$0","$0"
"365",364,"Josh Hart","$1,655,160","$1,934,160","$3,491,159","$5,236,738","$0","$0"
"366",365,"Nick Young","$1,650,023","$0","$0","$0","$0","$0"
"367",366,"Jacob Evans","$1,646,400","$1,928,280","$2,019,960","$3,646,027","$5,432,581","$0"
"368",367,"Pat Connaughton","$1,641,000","$1,723,050","$0","$0","$0","$0"
"369",368,"DeAndre Bembry","$1,634,640","$2,603,981","$3,752,337","$0","$0","$0"
"370",369,"Dzanan Musa","$1,634,400","$1,914,120","$2,005,200","$3,619,386","$5,429,079","$0"
"371",370,"Omari Spellman","$1,622,520","$1,900,200","$1,990,920","$3,593,610","$5,390,415","$0"
"372",371,"James Ennis","$1,621,415","$1,845,301","$0","$0","$0","$0"
"373",371,"Tim Frazier","$1,621,415","$0","$0","$0","$0","$0"
"374",371,"Noah Vonleh","$1,621,415","$0","$0","$0","$0","$0"
"375",371,"Nik Stauskas","$1,621,415","$0","$0","$0","$0","$0"
"376",371,"Lorenzo Brown","$1,621,415","$0","$0","$0","$0","$0"
"377",376,"Luke Kornet","$1,619,260","$0","$0","$0","$0","$0"
"378",377,"TJ McConnell","$1,600,520","$0","$0","$0","$0","$0"
"379",377,"Richaun Holmes","$1,600,520","$0","$0","$0","$0","$0"
"380",379,"Malachi Richardson","$1,569,360","$0","$0","$0","$0","$0"
"381",380,"Jahlil Okafor","$1,567,007","$1,702,486","$0","$0","$0","$0"
"382",380,"Kevon Looney","$1,567,007","$0","$0","$0","$0","$0"
"383",382,"Salah Mejri","$1,564,007","$0","$0","$0","$0","$0"
"384",383,"Pascal Siakam","$1,544,951","$2,351,838","$3,487,776","$0","$0","$0"
"385",383,"Skal Labissiere","$1,544,951","$2,338,846","$3,484,881","$0","$0","$0"
"386",383,"Dejounte Murray","$1,544,951","$2,321,735","$3,482,603","$0","$0","$0"
"387",383,"Damian Jones","$1,544,951","$2,305,057","$3,457,585","$0","$0","$0"
"388",383,"Dorian Finney-Smith","$1,544,951","$0","$0","$0","$0","$0"
"389",383,"Quinn Cook","$1,544,951","$0","$0","$0","$0","$0"
"390",383,"Ivica Zubac","$1,544,951","$0","$0","$0","$0","$0"
"391",383,"Wayne Selden","$1,544,951","$0","$0","$0","$0","$0"
"392",383,"Rodney McGruder","$1,544,951","$0","$0","$0","$0","$0"
"393",383,"Malcolm Brogdon","$1,544,951","$0","$0","$0","$0","$0"
"394",383,"Cheick Diallo","$1,544,951","$0","$0","$0","$0","$0"
"395",383,"Wade Baldwin","$1,544,951","$0","$0","$0","$0","$0"
"396",383,"Jake Layman","$1,544,951","$0","$0","$0","$0","$0"
"397",383,"Deyonta Davis","$1,544,951","$0","$0","$0","$0","$0"
"398",397,"Derrick Jones","$1,512,601","$1,645,357","$0","$0","$0","$0"
"399",397,"Christian Wood","$1,512,601","$1,645,357","$0","$0","$0","$0"
"400",397,"Treveon Graham","$1,512,601","$1,645,357","$0","$0","$0","$0"
"401",397,"David Nwaba","$1,512,601","$0","$0","$0","$0","$0"
"402",397,"Gerald Green","$1,512,601","$0","$0","$0","$0","$0"
"403",397,"Georges Niang","$1,512,601","$1,645,357","$1,783,557","$0","$0","$0"
"404",403,"Willy Hernangomez","$1,496,500","$1,557,250","$0","$0","$0","$0"
"405",404,"Sviatoslav Mykhailiuk","$1,487,694","$1,416,852","$1,663,861","$0","$0","$0"
"406",405,"Mitchell Robinson","$1,485,440","$1,559,712","$1,663,861","$1,802,057","$0","$0"
"407",406,"Jawun Evans","$1,455,492","$0","$0","$0","$0","$0"
"408",407,"Zhou Qi","$1,378,242","$1,618,520","$1,752,950","$0","$0","$0"
"409",407,"Sindarius Thornwell","$1,378,242","$1,618,520","$0","$0","$0","$0"
"410",407,"Ivan Rabb","$1,378,242","$1,618,520","$0","$0","$0","$0"
"411",407,"Damyean Dotson","$1,378,242","$1,618,520","$0","$0","$0","$0"
"412",407,"Royce O'Neale","$1,378,242","$1,618,520","$0","$0","$0","$0"
"413",407,"Tyler Dorsey","$1,378,242","$0","$0","$0","$0","$0"
"414",407,"Semi Ojeleye","$1,378,242","$1,618,520","$1,752,950","$0","$0","$0"
"415",407,"Daniel Theis","$1,378,242","$0","$0","$0","$0","$0"
"416",407,"Dwayne Bacon","$1,378,242","$1,618,520","$2,023,150","$0","$0","$0"
"417",407,"Maxi Kleber","$1,378,242","$0","$0","$0","$0","$0"
"418",407,"Jordan Bell","$1,378,242","$0","$0","$0","$0","$0"
"419",407,"Dillon Brooks","$1,378,242","$1,618,520","$0","$0","$0","$0"
"420",407,"Dakari Johnson","$1,378,242","$0","$0","$0","$0","$0"
"421",407,"Rade Zagorac","$1,378,242","$0","$0","$0","$0","$0"
"422",407,"Sterling Brown","$1,378,242","$1,618,520","$0","$0","$0","$0"
"423",407,"Frank Jackson","$1,378,242","$1,618,520","$0","$0","$0","$0"
"424",407,"Abdel Nader","$1,378,242","$1,618,520","$1,752,950","$0","$0","$0"
"425",407,"Khem Birch","$1,378,242","$0","$0","$0","$0","$0"
"426",407,"Wesley Iwundu","$1,378,242","$0","$0","$0","$0","$0"
"427",407,"Frank Mason","$1,378,242","$0","$0","$0","$0","$0"
"428",407,"Thomas Bryant","$1,378,242","$0","$0","$0","$0","$0"
"429",428,"Jabari Bird","$1,349,383","$1,588,231","$0","$0","$0","$0"
"430",428,"Antonio Blakeney","$1,349,383","$1,588,231","$0","$0","$0","$0"
"431",428,"Monte Morris","$1,349,383","$1,588,231","$1,723,707","$0","$0","$0"
"432",428,"Alfonzo McKinnie","$1,349,383","$1,588,231","$0","$0","$0","$0"
"433",428,"Tyrone Wallace","$1,349,383","$1,588,231","$0","$0","$0","$0"
"434",428,"James Nunnally","$1,349,383","$1,588,231","$0","$0","$0","$0"
"435",428,"Daniel Hamilton","$1,349,383","$0","$0","$0","$0","$0"
"436",428,"Ryan Arcidiacono","$1,349,383","$0","$0","$0","$0","$0"
"437",436,"Shaquille Harrison","$1,325,531","$0","$0","$0","$0","$0"
"438",437,"Elie Okobo","$1,238,464","$1,416,852","$1,663,861","$1,802,057","$0","$0"
"439",438,"Jalen Brunson","$1,230,000","$1,416,852","$1,663,861","$1,802,057","$0","$0"
"440",439,"Eric Moreland","$1,080,083","$0","$0","$0","$0","$0"
"441",440,"Melvin Frazier","$1,050,000","$1,416,852","$1,663,861","$0","$0","$0"
"442",441,"Isaac Bonga","$1,000,000","$1,416,852","$1,663,861","$0","$0","$0"
"443",441,"Justin Hamilton","$1,000,000","$1,000,000","$0","$0","$0","$0"
"444",443,"Devonte Graham","$988,464","$1,416,852","$1,663,861","$0","$0","$0"
"445",444,"De'Anthony Melton","$949,000","$1,416,852","$0","$0","$0","$0"
"446",445,"Jason Thompson","$893,333","$0","$0","$0","$0","$0"
"447",446,"Ryan Broekhoff","$838,464","$1,416,852","$0","$0","$0","$0"
"448",446,"Raymond Spalding","$838,464","$1,416,852","$1,663,861","$1,802,057","$0","$0"
"449",446,"Jarred Vanderbilt","$838,464","$1,416,852","$1,663,861","$0","$0","$0"
"450",446,"Bruce Brown","$838,464","$1,416,852","$1,663,861","$0","$0","$0"
"451",446,"Khyri Thomas","$838,464","$1,416,852","$1,663,861","$0","$0","$0"
"452",446,"Isaiah Hartenstein","$838,464","$1,416,852","$0","$0","$0","$0"
"453",446,"Alize Johnson","$838,464","$1,416,852","$0","$0","$0","$0"
"454",446,"Keita Bates-Diop","$838,464","$1,416,852","$1,663,861","$0","$0","$0"
"455",446,"Kenrich Williams","$838,464","$1,416,852","$0","$0","$0","$0"
"456",446,"Hamidou Diallo","$838,464","$1,416,852","$1,663,861","$0","$0","$0"
"457",446,"Isaiah Briscoe","$838,464","$1,416,852","$1,663,861","$0","$0","$0"
"458",446,"Gary Trent Jr","$838,464","$1,416,852","$0","$0","$0","$0"
"459",446,"Chimezie Metu","$838,464","$1,416,852","$1,663,861","$0","$0","$0"
"460",446,"Brad Wanamaker","$838,464","$0","$0","$0","$0","$0"
"461",460,"Davon Reed","$752,250","$0","$0","$0","$0","$0"
"462",461,"Gary Clark","$674,122","$1,416,852","$1,663,861","$0","$0","$0"
"463",462,"Isaiah Canaan","$446,803","$0","$0","$0","$0","$0"
"464",463,"Andrew Harrison","$277,250","$0","$0","$0","$0","$0"
"465",464,"Demetrius Jackson","$170,107","$92,857","$92,857","$92,857","$92,857","$0"
"466",465,"Ben Moore","$144,849","$0","$0","$0","$0","$0"
"467",466,"Johnathan Williams","$127,250","$0","$0","$0","$0","$0"
"468",467,"Chasson Randle","$106,730","$0","$0","$0","$0","$0"
"469",468,"Jaylen Adams","$77,250","$0","$0","$0","$0","$0"
"470",468,"Alex Poythress","$77,250","$0","$0","$0","$0","$0"
"471",468,"PJ Dozier","$77,250","$0","$0","$0","$0","$0"
"472",468,"Walter Lemon Jr","$77,250","$0","$0","$0","$0","$0"
"473",468,"Theo Pinson","$77,250","$0","$0","$0","$0","$0"
"474",468,"Alan Williams","$77,250","$0","$0","$0","$0","$0"
"475",468,"Joe Chealey","$77,250","$0","$0","$0","$0","$0"
"476",468,"JP Macura","$77,250","$0","$0","$0","$0","$0"
"477",468,"Rawle Alkins","$77,250","$0","$0","$0","$0","$0"
"478",468,"Tyler Ulis","$77,250","$0","$0","$0","$0","$0"
"479",468,"Jaron Blossomgame","$77,250","$0","$0","$0","$0","$0"
"480",468,"John Holland","$77,250","$0","$0","$0","$0","$0"
"481",468,"Jalen Jones","$77,250","$0","$0","$0","$0","$0"
"482",468,"Billy Preston","$77,250","$0","$0","$0","$0","$0"
"483",468,"Kostas Antetokounmpo","$77,250","$0","$0","$0","$0","$0"
"484",468,"Daryl Macon","$77,250","$0","$0","$0","$0","$0"
"485",468,"DeVaughn Akoon-Purcell","$77,250","$0","$0","$0","$0","$0"
"486",468,"Thomas Welsh","$77,250","$0","$0","$0","$0","$0"
"487",468,"Keenan Evans","$77,250","$0","$0","$0","$0","$0"
"488",468,"Zach Lofton","$77,250","$0","$0","$0","$0","$0"
"489",468,"Marcus Derrickson","$77,250","$0","$0","$0","$0","$0"
"490",468,"Damion Lee","$77,250","$0","$0","$0","$0","$0"
"491",468,"Vincent Edwards","$77,250","$0","$0","$0","$0","$0"
"492",468,"Danuel House","$77,250","$0","$0","$0","$0","$0"
"493",468,"Angel Delgado","$77,250","$0","$0","$0","$0","$0"
"494",468,"Johnathan Motley","$77,250","$0","$0","$0","$0","$0"
"495",468,"Alex Caruso","$77,250","$0","$0","$0","$0","$0"
"496",468,"DJ Stephens","$77,250","$0","$0","$0","$0","$0"
"497",468,"Yuta Watanabe","$77,250","$0","$0","$0","$0","$0"
"498",468,"Yante Maten","$77,250","$0","$0","$0","$0","$0"
"499",468,"Duncan Robinson","$77,250","$0","$0","$0","$0","$0"
"500",468,"Trevon Duval","$77,250","$0","$0","$0","$0","$0"
"501",468,"Jaylen Morris","$77,250","$0","$0","$0","$0","$0"
"502",468,"Jared Terrell","$77,250","$0","$0","$0","$0","$0"
"503",468,"CJ Williams","$77,250","$0","$0","$0","$0","$0"
"504",468,"Trevon Bluiett","$77,250","$0","$0","$0","$0","$0"
"505",468,"Isaiah Hicks","$77,250","$0","$0","$0","$0","$0"
"506",468,"Allonzo Trier","$77,250","$0","$0","$0","$0","$0"
"507",468,"Deonte Burton","$77,250","$0","$0","$0","$0","$0"
"508",468,"Tyler Davis","$77,250","$0","$0","$0","$0","$0"
"509",468,"Troy Caupain","$77,250","$0","$0","$0","$0","$0"
"510",468,"Amile Jefferson","$77,250","$0","$0","$0","$0","$0"
"511",468,"Shake Milton","$77,250","$0","$0","$0","$0","$0"
"512",468,"George King","$77,250","$0","$0","$0","$0","$0"
"513",468,"Drew Eubanks","$77,250","$0","$0","$0","$0","$0"
"514",468,"Chris Boucher","$77,250","$0","$0","$0","$0","$0"
"515",468,"Jordan Loyd","$77,250","$0","$0","$0","$0","$0"
"516",468,"Tyler Cavanaugh","$77,250","$0","$0","$0","$0","$0"
"517",468,"Naz Long","$77,250","$0","$0","$0","$0","$0"
"518",468,"Jordan McRae","$77,250","$0","$0","$0","$0","$0"
"519",468,"Devin Robinson","$77,250","$0","$0","$0","$0","$0"
"520",519,"Wenyen Gabriel","$75,000","$0","$0","$0","$0","$0"
"521",520,"Brandon Goodwin","$56,845","$0","$0","$0","$0","$0"
