"","X1","X2","X3"
"1",NA,"Player","2000/01"
"2",1,"Kevin Garnett","$19,610,000"
"3",2,"Shaquille O'Neal","$19,285,715"
"4",3,"Alonzo Mourning","$16,880,000"
"5",4,"Juwan Howard","$16,875,000"
"6",5,"Hakeem Olajuwon","$16,700,000"
"7",6,"Karl Malone","$15,750,000"
"8",7,"David Robinson","$14,700,000"
"9",8,"Dikembe Mutombo","$14,400,000"
"10",9,"Patrick Ewing","$14,000,000"
"11",10,"Jayson Williams","$13,800,000"
"12",11,"Scottie Pippen","$13,750,000"
"13",12,"Rasheed Wallace","$12,600,000"
"14",13,"Gary Payton","$12,200,000"
"15",14,"Tim Hardaway","$12,000,000"
"16",14,"Chris Webber","$12,000,000"
"17",16,"Shawn Kemp","$11,720,000"
"18",17,"Damon Stoudamire","$11,250,000"
"19",17,"Arvydas Sabonis","$11,250,000"
"20",19,"Larry Johnson","$11,000,000"
"21",19,"John Stockton","$11,000,000"
"22",21,"Antonio McDyess","$10,800,000"
"23",22,"Reggie Miller","$10,670,000"
"24",23,"Antoine Walker","$10,130,000"
"25",23,"Stephon Marbury","$10,130,000"
"26",23,"Zydrunas Ilgauskas","$10,130,000"
"27",23,"Kobe Bryant","$10,130,000"
"28",23,"Shareef Abdur-Rahim","$10,130,000"
"29",23,"Ray Allen","$10,130,000"
"30",23,"Vin Baker","$10,130,000"
"31",23,"Allen Iverson","$10,130,000"
"32",23,"Anfernee Hardaway","$10,130,000"
"33",32,"Latrell Sprewell","$10,125,000"
"34",33,"Bryant Reeves","$10,110,000"
"35",34,"Mitch Richmond","$10,000,000"
"36",34,"Rod Strickland","$10,000,000"
"37",36,"Jalen Rose","$9,660,000"
"38",36,"Grant Hill","$9,660,000"
"39",36,"Tracy McGrady","$9,660,000"
"40",36,"Tim Duncan","$9,660,000"
"41",40,"Vlade Divac","$9,640,000"
"42",41,"Tom Gugliotta","$9,360,000"
"43",42,"Nick Van Exel","$9,200,000"
"44",43,"Keith Van Horn","$9,000,000"
"45",43,"Allan Houston","$9,000,000"
"46",45,"Eddie Jones","$8,960,000"
"47",46,"Brian Grant","$8,900,000"
"48",47,"Tim Thomas","$8,510,000"
"49",48,"Michael Finley","$8,400,000"
"50",49,"Shawn Bradley","$8,370,000"
"51",50,"Terrell Brandon","$8,330,000"
"52",51,"Glenn Robinson","$8,120,000"
"53",52,"Steve Smith","$8,100,000"
"54",53,"Elden Campbell","$8,050,000"
"55",54,"Danny Manning","$8,030,000"
"56",55,"Derrick Coleman","$8,000,000"
"57",55,"Avery Johnson","$8,000,000"
"58",57,"Theo Ratliff","$7,800,000"
"59",58,"Kerry Kittles","$7,770,000"
"60",59,"Jason Kidd","$7,680,000"
"61",60,"Glen Rice","$7,578,900"
"62",61,"Kenny Anderson","$7,520,000"
"63",62,"Matt Geiger","$7,515,840"
"64",63,"Tyrone Hill","$7,300,000"
"65",64,"Kendall Gill","$7,000,000"
"66",65,"Clifford Robinson","$6,890,000"
"67",66,"Christian Laettner","$6,625,000"
"68",67,"Horace Grant","$6,500,000"
"69",68,"Jamal Mashburn","$6,200,000"
"70",68,"Chris Dudley","$6,200,000"
"71",70,"Toni Kukoc","$6,000,000"
"72",70,"Dale Davis","$6,000,000"
"73",72,"Bryant Stith","$5,920,000"
"74",73,"Alan Henderson","$5,910,000"
"75",74,"Charles Oakley","$5,760,000"
"76",75,"Marcus Camby","$5,750,000"
"77",75,"Luc Longley","$5,750,000"
"78",77,"PJ Brown","$5,740,000"
"79",78,"Jermaine O'Neal","$5,710,000"
"80",79,"Donyell Marshall","$5,630,000"
"81",80,"Erick Dampier","$5,610,000"
"82",81,"Wesley Person","$5,600,000"
"83",82,"Chris Gatling","$5,550,000"
"84",82,"Anthony Mason","$5,550,000"
"85",84,"Ron Mercer","$5,520,000"
"86",85,"Steve Nash","$5,500,000"
"87",85,"Isaac Austin","$5,500,000"
"88",85,"Antonio Davis","$5,500,000"
"89",88,"Jim McIlvaine","$5,400,000"
"90",88,"Derrick McKey","$5,400,000"
"91",90,"Kelvin Cato","$5,330,000"
"92",91,"Jerry Stackhouse","$5,310,000"
"93",92,"Austin Croshere","$5,300,000"
"94",92,"Sean Elliott","$5,300,000"
"95",94,"Greg Ostertag","$5,200,000"
"96",95,"Charlie Ward","$5,040,000"
"97",96,"Lorenzen Wright","$4,950,000"
"98",97,"Loy Vaught","$4,812,025"
"99",98,"Chris Mills","$4,800,000"
"100",98,"Mookie Blaylock","$4,800,000"
"101",98,"Robert Horry","$4,800,000"
"102",101,"Hersey Hawkins","$4,760,000"
"103",102,"Chris Childs","$4,680,000"
"104",103,"Chris Mullin","$4,650,000"
"105",104,"Bobby Phills","$4,640,000"
"106",105,"Bryon Russell","$4,570,000"
"107",106,"Tariq Abdul-Wahad","$4,500,000"
"108",106,"Bo Outlaw","$4,500,000"
"109",108,"Bob Sura","$4,390,000"
"110",109,"Jason Caffey","$4,380,000"
"111",110,"Robert Pack","$4,320,000"
"112",110,"Brent Barry","$4,320,000"
"113",112,"Vitaly Potapenko","$4,290,000"
"114",113,"Brevin Knight","$4,250,000"
"115",113,"Howard Eisley","$4,250,000"
"116",113,"Walt Williams","$4,250,000"
"117",116,"Scott Williams","$4,200,000"
"118",117,"Dan Majerle","$4,050,000"
"119",118,"Brad Miller","$4,000,000"
"120",118,"Ben Wallace","$4,000,000"
"121",118,"Duane Causwell","$4,000,000"
"122",118,"Sam Cassell","$4,000,000"
