"","X1","X2","X3"
"1",NA,"Player","2013/14"
"2",1,"Kobe Bryant","$30,453,000"
"3",2,"Dirk Nowitzki","$22,721,381"
"4",3,"Gilbert Arenas","$22,346,536"
"5",4,"Amare Stoudemire","$21,679,893"
"6",5,"Carmelo Anthony","$21,490,000"
"7",6,"Joe Johnson","$21,466,718"
"8",7,"Dwight Howard","$20,513,178"
"9",8,"Pau Gasol","$19,285,850"
"10",9,"Chris Bosh","$19,067,500"
"11",9,"LeBron James","$19,067,500"
"12",11,"Kevin Durant","$18,773,176"
"13",12,"Chris Paul","$18,668,431"
"14",13,"Dwyane Wade","$18,536,000"
"15",14,"Deron Williams","$18,466,130"
"16",15,"Rudy Gay","$17,888,932"
"17",16,"Zach Randolph","$17,800,000"
"18",17,"Brandon Roy","$17,779,458"
"19",18,"Derrick Rose","$17,632,688"
"20",19,"Blake Griffin","$16,402,500"
"21",20,"Paul Pierce","$15,333,334"
"22",21,"Carlos Boozer","$15,300,000"
"23",22,"Marc Gasol","$14,860,523"
"24",23,"Brook Lopez","$14,694,000"
"25",24,"Kevin Love","$14,693,906"
"26",24,"Russell Westbrook","$14,693,906"
"27",26,"Emeka Okafor","$14,544,687"
"28",27,"Danny Granger","$14,379,240"
"29",28,"Luol Deng","$14,312,125"
"30",29,"Roy Hibbert","$14,283,844"
"31",29,"Eric Gordon","$14,283,844"
"32",31,"Andrew Bogut","$14,200,000"
"33",32,"Tyson Chandler","$14,100,538"
"34",33,"LaMarcus Aldridge","$14,100,000"
"35",34,"Josh Smith","$14,000,000"
"36",35,"David Lee","$13,878,000"
"37",36,"James Harden","$13,668,750"
"38",37,"Al Jefferson","$13,500,000"
"39",38,"Ben Gordon","$13,200,000"
"40",39,"Nenê","$13,000,000"
"41",40,"Andre Iguodala","$12,868,632"
"42",41,"Tony Parker","$12,500,000"
"43",42,"Serge Ibaka","$12,250,000"
"44",43,"Nikola Pekovic","$12,100,000"
"45",44,"Al Horford","$12,000,000"
"46",44,"Rajon Rondo","$12,000,000"
"47",44,"Kris Humphries","$12,000,000"
"48",44,"David West","$12,000,000"
"49",48,"Tyreke Evans","$11,796,247"
"50",49,"Joakim Noah","$11,600,000"
"51",50,"Kevin Garnett","$11,532,468"
"52",51,"Richard Jefferson","$11,046,000"
"53",52,"Jrue Holiday","$11,000,000"
"54",52,"Andrea Bargnani","$11,000,000"
"55",54,"DeAndre Jordan","$10,986,550"
"56",55,"Nicolas Batum","$10,920,250"
"57",56,"Ty Lawson","$10,786,517"
"58",57,"JaVale McGee","$10,750,000"
"59",58,"Tim Duncan","$10,361,446"
"60",59,"Danilo Gallinari","$10,146,925"
"61",60,"Gerald Wallace","$10,105,855"
"62",61,"Tiago Splitter","$10,000,000"
"63",62,"Stephen Curry","$9,887,642"
"64",63,"Paul Millsap","$9,500,000"
"65",63,"DeMar DeRozan","$9,500,000"
"66",65,"Metta World Peace","$9,317,280"
"67",66,"Shawn Marion","$9,316,796"
"68",67,"Steve Nash","$9,300,500"
"69",68,"Andray Blatche","$9,170,525"
"70",69,"Anderson Varejao","$9,100,000"
"71",70,"Andris Biedrins","$9,000,000"
"72",71,"Jeff Green","$8,700,000"
"73",72,"Tyrus Thomas","$8,694,215"
"74",73,"Jameer Nelson","$8,600,000"
"75",73,"Thaddeus Young","$8,600,000"
"76",75,"Charlie Villanueva","$8,580,000"
"77",76,"Al Harrington","$8,548,107"
"78",77,"Rodney Stuckey","$8,500,000"
"79",78,"Kendrick Perkins","$8,477,437"
"80",79,"Caron Butler","$8,386,992"
"81",80,"Monta Ellis","$8,360,000"
"82",81,"Ryan Anderson","$8,308,500"
"83",82,"Marcus Thornton","$8,165,000"
"84",83,"Jeff Teague","$8,000,000"
"85",83,"George Hill","$8,000,000"
"86",83,"OJ Mayo","$8,000,000"
"87",86,"Mike Conley","$7,900,000"
"88",86,"Ersan Ilyasova","$7,900,000"
"89",88,"Trevor Ariza","$7,727,280"
"90",88,"Marcin Gortat","$7,727,280"
"91",90,"Brandon Jennings","$7,655,503"
"92",91,"Mike Miller","$7,599,507"
"93",92,"John Salmons","$7,580,000"
"94",93,"Arron Afflalo","$7,562,500"
"95",94,"Taj Gibson","$7,550,000"
"96",95,"Goran Dragic","$7,500,000"
"97",95,"Marvin Williams","$7,500,000"
"98",97,"John Wall","$7,459,924"
"99",98,"Josh Childress","$7,405,833"
"100",99,"Tayshaun Prince","$7,235,955"
"101",100,"Drew Gooden","$7,091,619"
"102",101,"Brendan Haywood","$7,073,500"
"103",102,"Michael Beasley","$7,027,424"
"104",103,"Andrew Bynum","$7,000,000"
"105",103,"Manu Ginobili","$7,000,000"
"106",105,"Wesley Matthews","$6,875,480"
"107",106,"Jose Calderon","$6,791,570"
"108",107,"Kyle Korver","$6,760,563"
"109",108,"Brandon Bass","$6,750,000"
"110",108,"Glen Davis","$6,750,000"
"111",108,"Carl Landry","$6,750,000"
"112",111,"Evan Turner","$6,679,866"
"113",112,"Hidayet Turkoglu","$6,650,359"
"114",113,"Spencer Hawes","$6,500,000"
"115",113,"JJ Redick","$6,500,000"
"116",113,"Kevin Martin","$6,500,000"
"117",113,"Amir Johnson","$6,500,000"
"118",117,"Channing Frye","$6,400,000"
"119",118,"Wilson Chandler","$6,344,164"
"120",119,"Jarrett Jack","$6,300,000"
"121",120,"Chris Andersen","$6,217,507"
"122",121,"Kyle Lowry","$6,210,000"
"123",122,"Jason Richardson","$6,204,250"
"124",123,"Derrick Favors","$6,008,106"
"125",124,"Gerald Henderson","$6,000,000"
"126",125,"Kyrie Irving","$5,915,880"
"127",126,"Chuck Hayes","$5,722,500"
"128",127,"Jason Thompson","$5,643,750"
"129",128,"JR Smith","$5,565,000"
"130",129,"Anthony Davis","$5,375,760"
"131",130,"Anthony Bennett","$5,324,280"
"132",131,"Derrick Williams","$5,293,080"
"133",132,"Louis Williams","$5,225,000"
"134",132,"Jeremy Lin","$5,225,000"
"135",132,"Omer Asik","$5,225,000"
"136",132,"Jamal Crawford","$5,225,000"
"137",132,"Courtney Lee","$5,225,000"
"138",132,"Jason Terry","$5,225,000"
"139",132,"Landry Fields","$5,225,000"
"140",139,"Zaza Pachulia","$5,200,000"
