"","X1","X2","X3"
"1",NA,"Player","2009/10"
"2",1,"Tracy McGrady","$23,239,562"
"3",2,"Kobe Bryant","$23,034,375"
"4",3,"Jermaine O'Neal","$23,016,000"
"5",4,"Tim Duncan","$22,183,220"
"6",5,"Shaquille O'Neal","$20,000,000"
"7",6,"Dirk Nowitzki","$19,795,714"
"8",7,"Paul Pierce","$19,795,712"
"9",8,"Rashard Lewis","$18,876,000"
"10",9,"Ray Allen","$18,776,860"
"11",10,"Michael Redd","$17,040,000"
"12",11,"Pau Gasol","$16,452,000"
"13",11,"Andrei Kirilenko","$16,452,000"
"14",13,"Kevin Garnett","$16,400,000"
"15",14,"Yao Ming","$16,378,325"
"16",14,"Amare Stoudemire","$16,378,325"
"17",16,"Vince Carter","$16,300,000"
"18",17,"Gilbert Arenas","$16,192,080"
"19",18,"Zach Randolph","$16,000,000"
"20",19,"LeBron James","$15,779,912"
"21",19,"Carmelo Anthony","$15,779,912"
"22",19,"Dwyane Wade","$15,779,912"
"23",19,"Chris Bosh","$15,779,912"
"24",23,"Kenyon Martin","$15,363,636"
"25",24,"Dwight Howard","$15,202,590"
"26",25,"Joe Johnson","$14,976,754"
"27",26,"Elton Brand","$14,858,471"
"28",27,"Richard Jefferson","$14,200,000"
"29",28,"Larry Hughes","$13,655,268"
"30",29,"Chris Paul","$13,520,500"
"31",29,"Carlos Boozer","$13,520,500"
"32",31,"Predrag Stojakovic","$13,392,000"
"33",32,"Jason Richardson","$13,333,333"
"34",33,"Steve Nash","$13,125,000"
"35",34,"Tony Parker","$12,600,000"
"36",35,"Andrew Bynum","$12,526,998"
"37",36,"Deron Williams","$12,323,900"
"38",37,"Brad Miller","$12,250,000"
"39",38,"Andre Iguodala","$12,200,000"
"40",39,"Baron Davis","$12,150,000"
"41",40,"Erick Dampier","$12,115,500"
"42",41,"Chauncey Billups","$12,100,000"
"43",42,"Samuel Dalembert","$12,025,694"
"44",43,"Al Jefferson","$12,000,000"
"45",44,"Tyson Chandler","$11,850,000"
"46",45,"Antawn Jamison","$11,641,095"
"47",46,"Richard Hamilton","$11,625,000"
"48",47,"Zydrunas Ilgauskas","$11,541,074"
"49",48,"Troy Murphy","$11,047,619"
"50",49,"Monta Ellis","$11,000,000"
"51",50,"Josh Howard","$10,890,000"
"52",51,"Josh Smith","$10,800,000"
"53",52,"Manu Ginobili","$10,728,130"
"54",53,"Bobby Simmons","$10,560,000"
"55",54,"Emeka Okafor","$10,538,937"
"56",55,"Nenê","$10,520,000"
"57",56,"Eddy Curry","$10,500,423"
"58",57,"Chris Kaman","$10,400,000"
"59",58,"Luol Deng","$10,370,425"
"60",59,"Tayshaun Prince","$10,324,380"
"61",60,"Kevin Martin","$10,180,170"
"62",61,"Al Harrington","$10,026,875"
"63",62,"Ben Gordon","$10,000,000"
"64",62,"Andrew Bogut","$10,000,000"
"65",64,"Danny Granger","$9,930,500"
"66",65,"Jason Terry","$9,862,500"
"67",66,"Mike Dunleavy","$9,780,992"
"68",67,"Caron Butler","$9,780,970"
"69",68,"Mike Miller","$9,750,000"
"70",69,"Kirk Hinrich","$9,500,000"
"71",69,"Cuttino Mobley","$9,500,000"
"72",71,"Earl Watson","$9,400,000"
"73",72,"Jamal Crawford","$9,360,000"
"74",73,"Quentin Richardson","$9,352,400"
"75",74,"Gerald Wallace","$9,075,000"
"76",74,"David West","$9,075,000"
"77",76,"Boris Diaw","$9,000,000"
"78",76,"Andris Biedrins","$9,000,000"
"79",76,"Darius Miles","$9,000,000"
"80",76,"Hidayet Turkoglu","$9,000,000"
"81",76,"Mehmet Okur","$9,000,000"
"82",81,"Corey Maggette","$8,937,931"
"83",82,"Maurice Williams","$8,860,000"
"84",83,"Kenny Thomas","$8,775,000"
"85",84,"TJ Ford","$8,500,000"
"86",85,"Devin Harris","$8,400,000"
"87",86,"Jose Calderon","$8,219,009"
"88",87,"Jason Kidd","$8,000,000"
"89",88,"Mark Blount","$7,962,500"
"90",89,"Tim Thomas","$7,773,055"
"91",90,"Paul Millsap","$7,692,932"
"92",91,"Stephen Jackson","$7,650,000"
"93",91,"Marcus Camby","$7,650,000"
"94",93,"Marvin Williams","$7,500,000"
"95",93,"Antonio McDyess","$7,500,000"
"96",93,"Lamar Odom","$7,500,000"
"97",93,"Darko Milicic","$7,500,000"
"98",93,"Andres Nocioni","$7,500,000"
"99",98,"Etan Thomas","$7,350,000"
"100",99,"Marko Jaric","$7,100,000"
"101",99,"Udonis Haslem","$7,100,000"
"102",101,"David Lee","$7,000,000"
"103",102,"Shane Battier","$6,864,200"
"104",103,"Joel Przybilla","$6,857,725"
"105",104,"Brian Cardinal","$6,750,000"
"106",105,"Dan Gadzuric","$6,749,260"
"107",106,"Andre Miller","$6,730,800"
"108",107,"Shawn Marion","$6,635,068"
"109",108,"Jerome James","$6,600,000"
"110",108,"Leandro Barbosa","$6,600,000"
"111",108,"Shareef Abdur-Rahim","$6,600,000"
"112",111,"Andrea Bargnani","$6,527,491"
"113",112,"Charlie Villanueva","$6,500,000"
"114",112,"Luke Ridnour","$6,500,000"
"115",112,"Matt Harpring","$6,500,000"
"116",115,"Nazr Mohammed","$6,466,600"
"117",115,"Vladimir Radmanovic","$6,466,600"
"118",115,"Jared Jeffries","$6,466,600"
"119",115,"Mike James","$6,466,600"
"120",119,"Anderson Varejao","$6,300,000"
"121",120,"Tony Battie","$6,292,000"
"122",121,"Nick Collison","$6,250,000"
"123",122,"Mike Bibby","$6,217,617"
"124",123,"Morris Peterson","$6,212,960"
"125",123,"Jason Kapono","$6,212,960"
"126",125,"Jamaal Tinsley","$6,190,300"
"127",126,"Jameer Nelson","$6,138,888"
"128",127,"Jeff Foster","$6,077,500"
"129",128,"DeSagana Diop","$6,031,800"
"130",128,"James Posey","$6,031,800"
"131",128,"Chris Duhon","$6,031,800"
"132",128,"Beno Udrih","$6,031,800"
"133",132,"Brendan Haywood","$6,000,000"
"134",133,"Antonio Daniels","$5,863,580"
"135",134,"Rasheed Wallace","$5,854,000"
"136",134,"Trevor Ariza","$5,854,000"
"137",134,"Metta World Peace","$5,854,000"
"138",134,"Marcin Gortat","$5,854,000"
"139",138,"LaMarcus Aldridge","$5,844,827"
"140",139,"Francisco Garcia","$5,800,000"
"141",140,"JR Smith","$5,508,426"
"142",141,"Raymond Felton","$5,501,196"
"143",142,"John Salmons","$5,456,000"
"144",143,"Nenad Krstic","$5,400,000"
