"","X1","X2","X3"
"1",NA,"Player","2008/09"
"2",1,"Kevin Garnett","$24,751,934"
"3",2,"Jason Kidd","$21,372,000"
"4",2,"Jermaine O'Neal","$21,372,000"
"5",4,"Kobe Bryant","$21,262,500"
"6",5,"Shaquille O'Neal","$21,000,000"
"7",6,"Allen Iverson","$20,840,625"
"8",6,"Stephon Marbury","$20,840,625"
"9",8,"Tim Duncan","$20,598,704"
"10",9,"Tracy McGrady","$20,370,437"
"11",10,"Steve Francis","$19,816,550"
"12",11,"Ray Allen","$18,388,430"
"13",12,"Dirk Nowitzki","$18,077,904"
"14",13,"Paul Pierce","$18,077,903"
"15",14,"Shawn Marion","$17,810,000"
"16",15,"Rashard Lewis","$16,447,871"
"17",16,"Michael Redd","$15,780,000"
"18",17,"Pau Gasol","$15,106,000"
"19",17,"Andrei Kirilenko","$15,106,000"
"20",19,"Yao Ming","$15,070,550"
"21",19,"Amare Stoudemire","$15,070,550"
"22",21,"Mike Bibby","$14,983,603"
"23",22,"Vince Carter","$14,724,125"
"24",23,"Zach Randolph","$14,666,667"
"25",24,"Gilbert Arenas","$14,653,466"
"26",25,"Ben Wallace","$14,500,000"
"27",26,"Kenyon Martin","$14,431,816"
"28",27,"LeBron James","$14,410,581"
"29",27,"Carmelo Anthony","$14,410,581"
"30",27,"Dwyane Wade","$14,410,581"
"31",27,"Chris Bosh","$14,410,581"
"32",31,"Joe Johnson","$14,232,567"
"33",32,"Lamar Odom","$14,148,596"
"34",33,"Rasheed Wallace","$13,930,000"
"35",34,"Wally Szczerbiak","$13,775,000"
"36",35,"Dwight Howard","$13,758,000"
"37",36,"Elton Brand","$13,757,844"
"38",37,"Richard Jefferson","$13,200,000"
"39",38,"Larry Hughes","$12,827,676"
"40",39,"Raef LaFrentz","$12,722,500"
"41",40,"Jason Richardson","$12,664,335"
"42",41,"Predrag Stojakovic","$12,528,000"
"43",42,"Steve Nash","$12,250,000"
"44",43,"Carlos Boozer","$11,593,817"
"45",44,"Erick Dampier","$11,553,000"
"46",45,"Tony Parker","$11,550,000"
"47",46,"Brad Miller","$11,375,000"
"48",47,"Tyson Chandler","$11,350,000"
"49",48,"Andre Iguodala","$11,300,000"
"50",49,"Baron Davis","$11,250,000"
"51",50,"Samuel Dalembert","$11,238,564"
"52",51,"Chauncey Billups","$11,050,000"
"53",52,"Monta Ellis","$11,000,000"
"54",52,"Al Jefferson","$11,000,000"
"55",54,"Zydrunas Ilgauskas","$10,841,615"
"56",55,"Richard Hamilton","$10,812,500"
"57",56,"Bobby Simmons","$10,602,667"
"58",57,"Andre Miller","$10,333,334"
"59",58,"Troy Murphy","$10,126,984"
"60",59,"Josh Smith","$10,000,000"
"61",59,"Kirk Hinrich","$10,000,000"
"62",59,"Marcus Camby","$10,000,000"
"63",62,"Josh Howard","$9,945,000"
"64",63,"Antawn Jamison","$9,923,285"
"65",64,"Manu Ginobili","$9,905,248"
"66",65,"David West","$9,862,500"
"67",66,"Eddy Curry","$9,723,983"
"68",67,"Darius Miles","$9,704,752"
"69",68,"Nenê","$9,680,000"
"70",69,"Emeka Okafor","$9,537,500"
"71",70,"Gerald Wallace","$9,500,000"
"72",70,"Tayshaun Prince","$9,500,000"
"73",70,"Chris Kaman","$9,500,000"
"74",73,"Luol Deng","$9,385,000"
"75",74,"Caron Butler","$9,249,980"
"76",75,"Al Harrington","$9,226,250"
"77",76,"Jason Terry","$9,196,000"
"78",77,"Cuttino Mobley","$9,100,000"
"79",78,"Mike Miller","$9,028,575"
"80",79,"Boris Diaw","$9,000,000"
"81",79,"Andris Biedrins","$9,000,000"
"82",79,"Mike Dunleavy","$9,000,000"
"83",82,"Antoine Walker","$8,854,475"
"84",83,"Kevin Martin","$8,760,335"
"85",84,"Quentin Richardson","$8,685,500"
"86",85,"Jamal Crawford","$8,640,000"
"87",86,"Kenny Thomas","$8,562,500"
"88",87,"Mark Blount","$8,513,916"
"89",88,"Mehmet Okur","$8,500,000"
"90",89,"Radoslav Nesterovic","$8,400,000"
"91",90,"Juwan Howard","$8,355,619"
"92",91,"Maurice Williams","$8,353,000"
"93",92,"Corey Maggette","$8,275,862"
"94",93,"Adonal Foyle","$8,062,275"
"95",94,"TJ Ford","$8,000,000"
"96",94,"Andres Nocioni","$8,000,000"
"97",96,"Devin Harris","$7,800,000"
"98",97,"Jameer Nelson","$7,700,000"
"99",98,"Malik Rose","$7,647,500"
"100",99,"Jose Calderon","$7,438,018"
"101",100,"Metta World Peace","$7,400,000"
"102",101,"Eric Snow","$7,312,500"
"103",102,"Donyell Marshall","$7,213,169"
"104",103,"Drew Gooden","$7,151,183"
"105",104,"Stephen Jackson","$7,140,000"
"106",105,"Darko Milicic","$7,020,000"
"107",106,"Jerry Stackhouse","$7,000,000"
"108",107,"Marquis Daniels","$6,864,200"
"109",107,"Hidayet Turkoglu","$6,864,200"
"110",107,"Etan Thomas","$6,864,200"
"111",110,"Jamaal Tinsley","$6,750,000"
"112",110,"Chris Wilcox","$6,750,000"
"113",112,"Marko Jaric","$6,575,000"
"114",112,"Udonis Haslem","$6,575,000"
"115",114,"Luke Ridnour","$6,500,000"
"116",115,"Bobby Jackson","$6,487,888"
"117",116,"Shane Battier","$6,448,900"
"118",117,"Ben Gordon","$6,404,750"
"119",118,"Nick Collison","$6,350,000"
"120",119,"Joel Przybilla","$6,310,150"
"121",120,"Brian Cardinal","$6,300,000"
"122",121,"Andrew Bogut","$6,294,310"
"123",122,"Dan Gadzuric","$6,250,195"
"124",123,"Mike James","$6,244,093"
"125",124,"Stromile Swift","$6,200,000"
"126",124,"Jerome James","$6,200,000"
"127",124,"Jason Collins","$6,200,000"
"128",124,"Antonio Daniels","$6,200,000"
"129",124,"Earl Watson","$6,200,000"
"130",129,"Leandro Barbosa","$6,100,000"
"131",130,"Nazr Mohammed","$6,049,400"
"132",130,"Vladimir Radmanovic","$6,049,400"
"133",130,"Tim Thomas","$6,049,400"
"134",130,"Jared Jeffries","$6,049,400"
"135",134,"Matt Harpring","$6,000,000"
"136",135,"Anderson Varejao","$5,784,480"
"137",135,"Jason Kapono","$5,784,480"
"138",137,"Speedy Claxton","$5,757,818"
"139",138,"Tony Battie","$5,746,000"
"140",139,"Marvin Williams","$5,636,143"
"141",140,"Mikki Moore","$5,632,200"
"142",141,"Morris Peterson","$5,592,240"
"143",142,"DeSagana Diop","$5,585,000"
"144",142,"James Posey","$5,585,000"
"145",142,"Chris Duhon","$5,585,000"
"146",142,"Beno Udrih","$5,585,000"
"147",146,"Jeff Foster","$5,500,000"
"148",146,"Brendan Haywood","$5,500,000"
"149",148,"Desmond Mason","$5,300,000"
"150",148,"Mickael Pietrus","$5,300,000"
"151",150,"Andrea Bargnani","$5,176,440"
"152",151,"John Salmons","$5,104,000"
