Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Shareef Abdur-Rahim\abdursh01,PF,28,POR,54,49,34.6,6.2,12.4,0.503,0.3,0.7,0.385,6,11.7,0.51,0.514,4.1,4.7,0.866,2.3,5,7.3,2.1,0.9,0.5,2.2,2.8,16.8
2,Cory Alexander\alexaco01,SG,31,CHA,16,1,12.6,1,3.1,0.327,0.5,1.2,0.421,0.5,1.9,0.267,0.408,0.6,0.8,0.75,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1
3,Malik Allen\allenma01,PF,26,TOT,36,1,14.4,2.3,4.9,0.475,0,0,,2.3,4.9,0.475,0.475,0.7,0.8,0.929,1.1,1.6,2.8,0.5,0.3,0.6,0.5,1.5,5.4
3,Malik Allen\allenma01,PF,26,MIA,14,0,17.7,2.5,5.4,0.461,0,0,,2.5,5.4,0.461,0.461,0.9,1,0.929,1.7,2,3.7,0.8,0.3,0.8,0.8,2.1,5.9
3,Malik Allen\allenma01,PF,26,CHA,22,1,12.3,2.2,4.6,0.485,0,0,,2.2,4.6,0.485,0.485,0.6,0.6,0.929,0.7,1.4,2.1,0.3,0.2,0.5,0.3,1.1,5
4,Ray Allen*\allenra02,SG,29,SEA,78,78,39.3,8.2,19.2,0.428,2.7,7.1,0.376,5.5,12,0.459,0.498,4.8,5.5,0.883,1,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9
5,Tony Allen\allento01,SG,23,BOS,77,34,16.4,2.4,5,0.475,0.2,0.4,0.387,2.2,4.6,0.483,0.491,1.5,2,0.737,1.1,1.8,2.9,0.8,1,0.3,1,2,6.4
6,Rafer Alston\alstora01,PG,28,TOR,80,78,34,5,12.2,0.414,1.7,4.9,0.357,3.3,7.3,0.451,0.485,2.4,3.2,0.74,0.5,3,3.5,6.4,1.5,0.1,2.1,2.7,14.2
7,Chris Andersen\anderch01,C,26,NOH,67,2,21.3,2.9,5.3,0.534,0,0,0,2.9,5.3,0.538,0.534,2,2.8,0.689,2,4.1,6.1,1.1,0.2,1.5,1,2.1,7.7
8,Derek Anderson\anderde01,SG,30,POR,47,32,26.4,3.2,8.3,0.389,1.2,3.2,0.384,2,5.1,0.392,0.463,1.5,1.9,0.805,0.5,2.2,2.7,3,0.8,0.1,1.5,1.9,9.2
9,Kenny Anderson\anderke01,PG,34,TOT,43,20,17.3,2,4.7,0.423,0.1,0.3,0.462,1.8,4.4,0.42,0.438,0.6,0.9,0.73,0.6,1.5,2,2.4,0.8,0,1.1,2,4.7
9,Kenny Anderson\anderke01,PG,34,ATL,39,20,18.4,2.1,4.9,0.426,0.2,0.3,0.462,1.9,4.5,0.424,0.442,0.7,0.9,0.73,0.6,1.5,2.1,2.5,0.8,0,1.2,2.1,5
9,Kenny Anderson\anderke01,PG,34,LAC,4,0,6.5,1,2.8,0.364,0,0,,1,2.8,0.364,0.364,0,0,,0.3,1,1.3,1.3,0,0,0.8,1.5,2
10,Shandon Anderson\andersh01,SF-SG,31,TOT,66,5,17.7,1.5,3.3,0.452,0.1,0.4,0.172,1.4,2.8,0.495,0.463,0.8,1,0.818,0.6,2.3,2.9,1.1,0.6,0.2,0.8,2.1,3.9
10,Shandon Anderson\andersh01,SG,31,NYK,1,0,20,0,2,0,0,1,0,0,1,0,0,0,0,,1,0,1,0,0,0,1,2,0
