Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
377,Jerry Stackhouse\stackje01,SG,26,DET,80,80,40.2,9.7,24.1,0.402,2.1,5.9,0.351,7.6,18.2,0.418,0.445,8.3,10.1,0.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2,29.8
378,John Starks\starkjo01,SG,35,UTA,75,64,28.3,3.6,9.1,0.398,0.9,2.4,0.352,2.8,6.7,0.415,0.445,1.2,1.5,0.802,0.4,1.7,2.1,2.4,1,0.1,1.3,2.9,9.3
379,Vladimir Stepania\stepavl01,C,24,NJN,29,0,9.7,1,3,0.318,0,0.1,0.25,0.9,2.9,0.321,0.324,0.9,1.2,0.735,1.2,2.6,3.8,0.6,0.3,0.4,0.7,1.6,2.8
380,DeShawn Stevenson\stevede01,SG,19,UTA,40,2,7.3,0.8,2.3,0.341,0,0.3,0.083,0.8,2,0.38,0.346,0.7,1,0.684,0.2,0.5,0.7,0.5,0.3,0.1,0.7,0.7,2.2
381,Michael Stewart\stewami01,C,25,TOR,26,0,4.7,0.4,1.3,0.324,0,0,,0.4,1.3,0.324,0.324,0.4,0.7,0.611,0.6,0.5,1.1,0.1,0.2,0.1,0.2,0.7,1.3
382,Bryant Stith\stithbr01,SG,30,BOS,78,74,32.1,3.1,7.8,0.401,1.2,3.1,0.376,2,4.7,0.417,0.475,2.2,2.7,0.845,0.8,2.8,3.6,2.2,1.2,0.2,1.2,2.3,9.7
383,John Stockton*\stockjo01,PG,38,UTA,82,82,29.2,4,7.9,0.504,0.7,1.6,0.462,3.3,6.3,0.514,0.551,2.8,3.4,0.817,0.7,2.1,2.8,8.7,1.6,0.3,2.5,2.4,11.5
384,Peja Stojakovic\stojape01,SF,23,SAC,75,75,38.7,7.5,15.9,0.47,1.9,4.8,0.4,5.5,11.1,0.501,0.531,3.6,4.2,0.856,1.2,4.5,5.8,2.2,1.2,0.2,1.9,1.9,20.4
385,Damon Stoudamire\stoudda01,PG,27,POR,82,82,32.4,5,11.4,0.434,1,2.7,0.374,4,8.7,0.453,0.478,2.1,2.5,0.831,0.8,2.9,3.7,5.7,1.3,0.1,2.3,2.5,13
386,Erick Strickland\stricer01,PG,27,TOT,50,0,16.6,1.6,5.3,0.303,0.6,1.9,0.316,1,3.4,0.297,0.36,1.4,1.6,0.861,0.4,2.2,2.6,1.9,0.9,0,1,1.8,5.2
386,Erick Strickland\stricer01,PG,27,NYK,28,0,15,1.4,4.7,0.305,0.6,1.7,0.34,0.9,3,0.286,0.366,0.9,1,0.857,0.3,1.5,1.9,1,0.8,0,0.8,1.6,4.3
386,Erick Strickland\stricer01,PG,27,VAN,22,0,18.6,1.9,6.2,0.301,0.6,2.2,0.292,1.2,4,0.307,0.353,2,2.3,0.863,0.4,3,3.5,3,1,0,1.2,1.9,6.4
387,Mark Strickland\stricma01,SF,30,TOT,55,2,13.1,1.9,4.3,0.431,0,0,0.5,1.9,4.3,0.43,0.433,0.8,1.3,0.643,1,1.9,2.9,0.4,0.3,0.4,0.6,1.3,4.6
387,Mark Strickland\stricma01,SF,30,DEN,46,2,11.2,1.8,4,0.443,0,0,0,1.8,4,0.446,0.443,0.8,1.3,0.627,0.9,1.7,2.6,0.4,0.3,0.4,0.5,1.3,4.4
387,Mark Strickland\stricma01,SF,30,NJN,9,0,22.4,2.3,6,0.389,0.1,0.1,1,2.2,5.9,0.377,0.398,0.9,1.2,0.727,1.2,3.3,4.6,0.8,0.4,0.3,1.1,1.6,5.7
388,Rod Strickland\stricro02,PG,34,TOT,54,28,25.4,3.4,7.9,0.424,0.1,0.3,0.235,3.3,7.6,0.432,0.429,2.4,3.2,0.751,0.7,1.9,2.6,5.6,1,0.1,2,1.4,9.2
