Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Shareef Abdur-Rahim\abdursh01,PF,27,TOT,85,56,31.6,5.9,12.4,0.475,0.1,0.4,0.265,5.8,12,0.482,0.48,4.4,5,0.869,2.2,5.3,7.5,2,0.8,0.4,2.2,2.6,16.3
1,Shareef Abdur-Rahim\abdursh01,PF,27,ATL,53,53,36.9,7.2,14.9,0.485,0.1,0.4,0.217,7.1,14.5,0.493,0.488,5.5,6.3,0.88,2.7,6.7,9.3,2.4,0.8,0.4,2.5,2.8,20.1
1,Shareef Abdur-Rahim\abdursh01,PF,27,POR,32,3,22.8,3.7,8.3,0.447,0.1,0.3,0.364,3.6,7.9,0.451,0.455,2.5,3,0.832,1.5,3,4.5,1.5,0.8,0.6,1.7,2.3,10
2,Malik Allen\allenma01,PF,25,MIA,45,6,13.7,1.8,4.4,0.419,0,0,,1.8,4.4,0.419,0.419,0.6,0.7,0.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2
3,Ray Allen*\allenra02,SG,28,SEA,56,56,38.4,8,18.2,0.44,2.6,6.8,0.392,5.3,11.4,0.468,0.512,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23
4,Rafer Alston\alstora01,PG,27,MIA,82,28,31.5,3.5,9.3,0.376,2,5.3,0.371,1.5,4,0.382,0.481,1.3,1.6,0.769,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2
5,Chris Andersen\anderch01,PF,25,DEN,71,0,14.5,1.3,2.9,0.443,0,0,0,1.3,2.8,0.446,0.443,0.9,1.5,0.589,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4
6,Derek Anderson\anderde01,SG,29,POR,51,46,35.5,4.5,12,0.376,1.5,5.1,0.305,3,6.9,0.428,0.44,3,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6
7,Kenny Anderson\anderke01,PG,33,IND,44,31,20.6,2.6,5.8,0.441,0,0.1,0.25,2.5,5.7,0.444,0.443,0.8,1.1,0.729,0.4,1.4,1.8,2.8,0.6,0.1,1.1,1.7,6
8,Shandon Anderson\andersh01,SG,30,NYK,80,37,24.7,3,7.1,0.422,0.5,1.6,0.281,2.5,5.5,0.463,0.454,1.5,2,0.764,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9
9,Carmelo Anthony\anthoca01,SF,19,DEN,82,82,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3,2.7,21
10,Robert Archibald\archiro01,C-PF,23,TOT,32,3,8,0.3,1,0.273,0,0,,0.3,1,0.273,0.273,0.4,1,0.452,0.7,1,1.6,0.4,0.4,0.1,0.3,1.6,1
10,Robert Archibald\archiro01,PF,23,PHO,1,0,6,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,1,1,1,0,0,1,1,1
10,Robert Archibald\archiro01,PF,23,ORL,1,0,4,1,2,0.5,0,0,,1,2,0.5,0.5,0,2,0,0,1,1,0,1,0,0,0,2
10,Robert Archibald\archiro01,C,23,TOR,30,3,8.2,0.3,1,0.267,0,0,,0.3,1,0.267,0.267,0.4,0.9,0.481,0.7,1,1.7,0.4,0.4,0.1,0.3,1.6,1
11,Gilbert Arenas\arenagi01,PG,22,WAS,55,52,37.6,6.5,16.6,0.392,2.3,6.1,0.375,4.2,10.6,0.401,0.46,4.3,5.8,0.748,1,3.6,4.6,5,1.9,0.2,4.1,3.2,19.6
12,Brandon Armstrong\armstbr01,SG,23,NJN,56,0,7.8,1.2,3.1,0.371,0.3,0.9,0.365,0.8,2.2,0.374,0.426,0,0.1,0.5,0.2,0.6,0.8,0.3,0.2,0,0.4,0.9,2.7
13,Darrell Armstrong\armstda01,PG,35,NOH,79,22,28.4,3.7,9.3,0.395,1.7,5.4,0.315,2,3.9,0.508,0.487,1.6,1.8,0.854,0.8,2.1,2.9,3.9,1.7,0.2,2,1.9,10.6
14,Carlos Arroyo\arroyca01,PG,24,UTA,71,71,28.3,4.8,10.8,0.441,0.5,1.6,0.325,4.2,9.2,0.462,0.466,2.5,3.2,0.804,0.6,2,2.6,5,0.9,0.1,2.2,2.3,12.6
15,Chucky Atkins\atkinch01,PG,29,TOT,64,24,24.1,3,7.6,0.397,1.3,3.8,0.336,1.7,3.8,0.457,0.48,1.1,1.5,0.753,0.1,1.3,1.5,3.5,0.7,0,1.4,1.6,8.4
15,Chucky Atkins\atkinch01,PG,29,DET,40,0,18.8,2.2,5.9,0.374,1.1,3.3,0.323,1.2,2.6,0.438,0.464,0.8,1.1,0.721,0.2,1.1,1.2,2.4,0.5,0,1.2,1.5,6.2
15,Chucky Atkins\atkinch01,PG,29,BOS,24,24,33,4.3,10.4,0.418,1.6,4.6,0.351,2.7,5.8,0.471,0.496,1.8,2.3,0.778,0.1,1.8,1.9,5.3,1.1,0,1.8,1.8,12
16,Stacey Augmon\augmost01,SF,35,NOH,69,24,20.5,2.1,5,0.412,0,0.1,0.143,2.1,4.9,0.418,0.414,1.6,2,0.791,0.8,1.8,2.5,1.2,0.8,0.2,1.1,1.7,5.8
17,Vin Baker\bakervi01,PF,32,TOT,54,33,24.3,3.9,8,0.481,0,0.1,0.333,3.8,7.9,0.483,0.483,2.1,2.9,0.726,2.1,3.1,5.2,1.2,0.5,0.6,1.4,3,9.8
17,Vin Baker\bakervi01,PF,32,BOS,37,33,27,4.5,9,0.505,0,0,0,4.5,9,0.506,0.505,2.2,3,0.732,2.1,3.6,5.7,1.5,0.6,0.6,1.4,2.6,11.3
17,Vin Baker\bakervi01,PF,32,NYK,17,0,18.4,2.4,5.8,0.404,0.1,0.1,0.5,2.3,5.7,0.402,0.409,1.9,2.6,0.711,2.1,2,4.1,0.7,0.4,0.5,1.5,3.6,6.6
18,Marcus Banks\banksma01,PG,22,BOS,81,2,17.1,2.2,5.5,0.4,0.3,1.1,0.314,1.9,4.4,0.421,0.431,1.2,1.6,0.756,0.4,1.3,1.6,2.2,1.1,0.2,1.5,2.1,5.9
19,Leandro Barbosa\barbole01,PG,21,PHO,70,46,21.4,3,6.7,0.447,1.2,3,0.395,1.8,3.7,0.488,0.535,0.7,0.9,0.77,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,7.9
20,Matt Barnes\barnema02,SF,23,LAC,38,9,19.1,1.7,3.6,0.457,0.1,0.3,0.154,1.6,3.3,0.488,0.464,1.1,1.6,0.705,1.4,2.6,4,1.3,0.7,0.1,1.2,2,4.5
21,Dana Barros\barroda01,SG,36,BOS,1,0,11,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1,0,0,0,0,0,0,0,2,6
22,Brent Barry\barrybr01,SG,32,SEA,59,53,30.6,3.6,7.2,0.504,1.9,4.3,0.452,1.7,3,0.577,0.637,1.5,1.9,0.827,0.4,3.1,3.5,5.8,1.4,0.3,2.4,2.1,10.8
23,Jon Barry\barryjo01,SG,34,DEN,57,9,19.3,2.1,5.2,0.404,0.9,2.4,0.37,1.2,2.8,0.434,0.49,1.1,1.2,0.845,0.4,1.7,2.2,2.6,1,0.1,0.9,1.2,6.2
24,Mengke Bateer\bateeme01,C,28,TOR,7,0,5.7,0.6,1,0.571,0,0,,0.6,1,0.571,0.571,0,0,,0.7,0.4,1.1,0.1,0.1,0,0.3,1.4,1.1
25,Tony Battie\battito01,C,27,TOT,73,7,20.2,2.3,5.3,0.443,0,0.1,0.222,2.3,5.1,0.448,0.445,0.9,1.2,0.742,1.6,3.3,4.9,0.8,0.4,0.9,0.9,2.2,5.6
25,Tony Battie\battito01,C,27,BOS,23,6,21.8,2.4,5.1,0.479,0,0,1,2.4,5,0.474,0.483,1,1.4,0.697,1.7,3.4,5.1,0.9,0.3,0.9,1,2.4,5.9
25,Tony Battie\battito01,C,27,CLE,50,1,19.5,2.3,5.3,0.427,0,0.2,0.125,2.3,5.2,0.436,0.429,0.9,1.1,0.768,1.6,3.2,4.8,0.7,0.4,0.9,0.8,2.1,5.4
26,Shane Battier\battish01,SF,25,MEM,79,1,24.6,3.1,6.9,0.446,0.8,2.4,0.349,2.2,4.5,0.496,0.506,1.5,2.1,0.732,1.3,2.5,3.8,1.3,1.3,0.7,0.7,2.4,8.5
27,Lonny Baxter\baxtelo01,C-PF,25,TOT,62,5,12.4,1.7,3.4,0.493,0,0,0.333,1.6,3.3,0.495,0.495,0.7,1.2,0.579,1,2,3,0.3,0.3,0.5,0.6,2,4
27,Lonny Baxter\baxtelo01,PF,25,CHI,14,1,10.5,1.9,3.5,0.551,0.1,0.1,1,1.9,3.4,0.542,0.561,0.4,0.6,0.625,0.8,1.7,2.5,0.4,0.1,0.4,0.8,2.2,4.3
27,Lonny Baxter\baxtelo01,C,25,TOR,36,4,13.5,1.7,3.6,0.469,0,0,0,1.7,3.5,0.472,0.469,0.8,1.6,0.536,1.2,2.2,3.4,0.3,0.4,0.5,0.6,1.9,4.2
27,Lonny Baxter\baxtelo01,PF,25,WAS,12,0,11,1.3,2.7,0.5,0,0.1,0,1.3,2.6,0.516,0.5,0.8,1,0.75,0.9,1.7,2.6,0.4,0.2,0.4,0.4,1.9,3.4
28,Jerome Beasley\beaslje01,PF,23,MIA,2,0,2.5,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,0,0,,0,0.5,0.5,0,0,0,0,0,1
29,Raja Bell\bellra01,SG,27,UTA,82,4,24.6,4,9.8,0.409,0.8,2,0.373,3.3,7.8,0.418,0.447,2.4,3,0.786,0.7,2.2,2.9,1.3,0.8,0.2,1.4,3.2,11.2
30,Troy Bell\belltr01,PG,23,MEM,6,0,5.7,0.7,3,0.222,0,0.7,0,0.7,2.3,0.286,0.222,0.5,0.5,1,0.5,0.2,0.7,0.7,0.2,0,1,1,1.8
31,Jonathan Bender\bendejo01,SF,23,IND,21,0,12.9,2.4,5,0.472,0.4,1,0.409,2,4,0.488,0.514,1.9,2.2,0.83,0.4,1.5,1.9,0.4,0.2,0.5,1.6,1.1,7
32,Travis Best\besttr01,PG,31,DAL,61,1,12.5,1,2.8,0.372,0,0.3,0.15,1,2.5,0.401,0.381,0.7,0.8,0.87,0.3,0.8,1.1,1.8,0.5,0.1,0.5,1.1,2.8
33,Mike Bibby\bibbymi01,PG,25,SAC,82,82,36.3,6.4,14.3,0.45,1.8,4.6,0.392,4.6,9.7,0.479,0.514,3.7,4.5,0.815,0.8,2.6,3.4,5.4,1.4,0.2,2.1,1.8,18.4
34,Chauncey Billups\billuch01,PG,27,DET,78,78,35.4,5,12.8,0.394,1.7,4.3,0.388,3.4,8.5,0.396,0.459,5.2,5.9,0.878,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9
35,Steve Blake\blakest01,PG,23,WAS,75,14,18.6,2.1,5.4,0.386,1,2.7,0.371,1.1,2.7,0.4,0.478,0.7,0.9,0.821,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1.3,5.9
36,Corie Blount\blounco01,PF-C,35,TOT,62,3,16.9,1.9,4.1,0.455,0,0,0,1.9,4,0.46,0.455,0.2,0.4,0.556,1.6,2.9,4.4,0.9,0.8,0.4,0.7,2.2,4
