Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Shareef Abdur-Rahim\abdursh01,PF,31,SAC,6,0,8.5,0.5,2.3,0.214,0,0,,0.5,2.3,0.214,0.214,0.7,0.7,1,1,0.7,1.7,0.7,0.2,0,0.2,1.5,1.7
2,Arron Afflalo\afflaar01,SG,22,DET,75,9,12.9,1.3,3.2,0.411,0.1,0.6,0.208,1.2,2.6,0.461,0.432,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7
3,Maurice Ager\agerma01,SG,23,TOT,26,3,6.3,0.8,2.5,0.323,0.1,0.7,0.158,0.7,1.8,0.391,0.346,0.2,0.5,0.5,0.2,0.3,0.5,0.3,0,0,0.2,0.7,2
3,Maurice Ager\agerma01,SG,23,DAL,12,3,6.4,0.4,2.3,0.185,0,0.7,0,0.4,1.6,0.263,0.185,0.4,0.5,0.833,0.1,0.3,0.3,0.3,0,0.1,0.3,0.9,1.3
3,Maurice Ager\agerma01,SG,23,NJN,14,0,6.3,1.1,2.7,0.421,0.2,0.8,0.273,0.9,1.9,0.481,0.461,0.1,0.4,0.167,0.2,0.4,0.6,0.3,0,0,0.2,0.4,2.6
4,Blake Ahearn\ahearbl01,PG,23,MIA,12,0,14.8,1.3,4.8,0.263,0.8,2.8,0.294,0.4,1.9,0.217,0.351,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0,1.3,1.7,5.8
5,LaMarcus Aldridge\aldrila01,PF,22,POR,76,76,34.9,7.4,15.3,0.484,0,0.1,0.143,7.4,15.2,0.486,0.484,3,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8
6,Malik Allen\allenma01,PF,29,TOT,73,16,15,2.2,4.5,0.48,0,0,0.5,2.1,4.5,0.48,0.482,0.3,0.3,0.92,0.9,1.8,2.7,0.6,0.3,0.4,0.6,2,4.6
6,Malik Allen\allenma01,PF,29,NJN,48,12,15.9,2.6,5.4,0.475,0,0,0.5,2.6,5.4,0.475,0.477,0.3,0.3,0.923,0.9,1.8,2.7,0.6,0.3,0.4,0.7,1.9,5.4
6,Malik Allen\allenma01,PF,29,DAL,25,4,13.3,1.3,2.6,0.5,0,0,,1.3,2.6,0.5,0.5,0.4,0.5,0.917,1,1.8,2.7,0.6,0.2,0.4,0.5,2.4,3.1
7,Ray Allen*\allenra02,SG,32,BOS,73,73,35.9,6,13.5,0.445,2.5,6.2,0.398,3.5,7.3,0.485,0.537,2.9,3.2,0.907,1,2.6,3.7,3.1,0.9,0.2,1.7,2,17.4
8,Tony Allen\allento01,SG,26,BOS,75,11,18.3,2.3,5.2,0.434,0.2,0.8,0.316,2,4.4,0.455,0.458,1.8,2.4,0.762,0.5,1.8,2.2,1.5,0.8,0.3,1.5,2.2,6.6
9,Lance Allred\allrela01,C,26,CLE,3,0,3.3,0.3,1.3,0.25,0,0,,0.3,1.3,0.25,0.25,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1
10,Morris Almond\almonmo01,SG,22,UTA,9,0,4.3,0.4,1.7,0.267,0.1,0.4,0.25,0.3,1.2,0.273,0.3,0.4,0.7,0.667,0,0.2,0.2,0.3,0.1,0,0.2,0.6,1.4
11,Rafer Alston\alstora01,PG,31,HOU,74,74,34.1,4.9,12.5,0.394,1.9,5.5,0.351,3,7,0.427,0.471,1.3,1.9,0.715,0.4,3.1,3.5,5.3,1.3,0.2,2.2,1.9,13.1
12,Lou Amundson\amundlo01,PF,25,PHI,16,0,4,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.1,0.4,0.286,0.4,0.3,0.8,0,0.1,0.1,0.1,0.8,1.1
13,Chris Andersen\anderch01,C,29,NOH,5,0,6.8,0.4,1.4,0.286,0,0,,0.4,1.4,0.286,0.286,0.4,0.8,0.5,0.4,1.4,1.8,0,0,0.8,0.2,1.2,1.2
14,Derek Anderson\anderde01,SG,33,CHA,28,0,14.1,1.7,4.5,0.376,0.7,1.9,0.365,1,2.6,0.384,0.452,1,1.4,0.737,0.3,1.5,1.9,1.6,0.4,0,0.9,1.8,5
15,Carmelo Anthony\anthoca01,SF,23,DEN,77,77,36.4,9.5,19.2,0.492,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7
16,Joel Anthony\anthojo01,PF,25,MIA,24,1,20.8,1.2,2.5,0.467,0,0,,1.2,2.5,0.467,0.467,1.2,2,0.592,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5
17,Gilbert Arenas\arenagi01,PG,26,WAS,13,8,32.7,6,15.1,0.398,1.7,6,0.282,4.3,9.1,0.475,0.454,5.7,7.4,0.771,0.5,3.5,3.9,5.1,1.8,0.1,3.8,2.3,19.4
18,Trevor Ariza\arizatr01,SF,22,TOT,35,3,15.6,2,3.9,0.507,0.1,0.5,0.278,1.8,3.4,0.542,0.526,1.4,2.1,0.653,0.9,2.2,3.1,1.3,0.9,0.3,0.7,1.3,5.5
18,Trevor Ariza\arizatr01,SF,22,ORL,11,0,10.5,1.3,2.8,0.452,0,0.3,0,1.3,2.5,0.5,0.452,0.7,1.4,0.533,0.5,1.7,2.2,0.7,0.5,0.3,0.5,0.8,3.3
18,Trevor Ariza\arizatr01,SF,22,LAL,24,3,18,2.3,4.4,0.524,0.2,0.6,0.333,2.1,3.8,0.556,0.548,1.7,2.5,0.683,1,2.5,3.5,1.5,1.1,0.3,0.8,1.5,6.5
19,Darrell Armstrong\armstda01,PG,39,NJN,50,2,11,0.8,2.2,0.364,0.5,1.4,0.333,0.3,0.8,0.415,0.468,0.4,0.6,0.667,0.3,1,1.3,1.5,0.6,0,0.8,1.1,2.5
20,Hilton Armstrong\armsthi01,C,23,NOH,65,3,11.3,1,2.3,0.453,0,0,,1,2.3,0.453,0.453,0.7,1.1,0.629,1,1.5,2.5,0.4,0.2,0.5,0.9,2,2.7
21,Carlos Arroyo\arroyca01,PG,28,ORL,62,20,20.5,2.5,5.6,0.451,0.5,1.4,0.345,2.1,4.3,0.485,0.493,1.4,1.6,0.853,0.2,1.7,1.8,3.5,0.4,0,1.2,1.4,6.9
22,Chucky Atkins\atkinch01,SG,33,DEN,24,0,14.7,1.8,5.1,0.344,1,3.3,0.316,0.7,1.8,0.395,0.447,0.2,0.4,0.444,0.1,1.2,1.3,2,0.4,0,0.4,1.1,4.7
23,James Augustine\augusja01,PF,23,ORL,25,0,6,0.7,1.4,0.529,0,0,,0.7,1.4,0.529,0.529,0.2,0.3,0.5,0.6,0.6,1.2,0.1,0.2,0.1,0.2,0.7,1.6
24,Kelenna Azubuike\azubuke01,SG,24,GSW,81,17,21.4,3.2,7.2,0.445,0.9,2.4,0.364,2.3,4.8,0.485,0.505,1.2,1.7,0.717,1.3,2.7,4,0.9,0.6,0.4,0.7,2,8.5
25,Renaldo Balkman\balkmre01,SF,23,NYK,65,0,14.6,1.4,2.9,0.489,0,0.2,0.083,1.4,2.7,0.517,0.492,0.6,1.5,0.432,1.3,2,3.3,0.6,0.7,0.5,0.6,2,3.4
26,Marcus Banks\banksma01,PG,26,TOT,36,3,15.8,2.4,5.3,0.45,1.1,2.8,0.392,1.3,2.5,0.517,0.555,0.8,1,0.771,0.1,1.1,1.3,1.7,0.4,0.4,1,1.8,6.6
26,Marcus Banks\banksma01,PG,26,PHO,24,1,12.9,1.8,4.5,0.404,1,2.7,0.385,0.8,1.8,0.432,0.518,0.5,0.7,0.75,0.1,0.7,0.8,1,0.3,0.3,0.7,1.6,5.2
26,Marcus Banks\banksma01,PG,26,MIA,12,2,21.6,3.5,6.8,0.512,1.3,3.1,0.405,2.3,3.8,0.6,0.604,1.3,1.6,0.789,0.1,2,2.1,3,0.5,0.4,1.8,2.3,9.5
27,Leandro Barbosa\barbole01,SG,25,PHO,82,12,29.5,5.8,12.5,0.462,2,5.1,0.389,3.8,7.3,0.514,0.543,2.1,2.6,0.822,0.5,2.3,2.8,2.6,0.9,0.2,1.4,2.4,15.6
28,J.J. Barea\bareajo01,PG,23,DAL,44,9,10.5,1.6,3.9,0.418,0.5,1.2,0.389,1.1,2.6,0.431,0.479,0.6,0.8,0.8,0.1,1,1.1,1.3,0.3,0,0.8,1.1,4.3
29,Andrea Bargnani\bargnan01,PF,22,TOR,78,53,23.9,3.6,9.3,0.386,1.2,3.3,0.345,2.4,5.9,0.409,0.448,1.8,2.2,0.84,0.6,3.1,3.7,1.1,0.3,0.5,1.1,2.7,10.2
30,Matt Barnes\barnema02,PF,27,GSW,73,18,19.4,2.6,6.1,0.423,0.7,2.5,0.293,1.8,3.6,0.513,0.483,0.8,1.1,0.747,1.3,3.2,4.4,1.9,0.7,0.5,1.2,2.2,6.7
31,Andre Barrett\barrean01,PG,25,LAC,4,0,6.3,0.5,1.3,0.4,0.3,0.8,0.333,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0,0.3,0.3,1.8,0,0,0.3,0.3,1.5
32,Earl Barron\barroea01,C,26,MIA,46,15,19.3,2.9,7.1,0.404,0,0.3,0.077,2.8,6.8,0.417,0.405,1.3,1.9,0.701,1.5,2.8,4.3,0.6,0.4,0.2,1,2.5,7.1
33,Brent Barry\barrybr01,SF,36,SAS,31,1,17.9,2.5,5.2,0.481,1.5,3.6,0.429,0.9,1.5,0.604,0.631,0.6,0.6,0.95,0.4,1.4,1.8,1.7,0.5,0.1,0.6,1.4,7.1
34,Brandon Bass\bassbr01,C,22,DAL,79,1,19.7,3.1,6.2,0.499,0,0.1,0,3.1,6.2,0.503,0.499,2.1,2.5,0.822,1.5,2.9,4.4,0.7,0.3,0.6,1,1.9,8.3
35,Maceo Baston\bastoma01,PF,32,TOR,15,2,6.9,1.1,1.7,0.68,0,0,,1.1,1.7,0.68,0.68,0.5,0.7,0.7,0.6,1.1,1.7,0.2,0.1,0.3,0.3,1.3,2.7
36,Shane Battier\battish01,SF,29,HOU,80,78,36.3,3.3,7.7,0.428,1.7,4.6,0.377,1.6,3.1,0.504,0.54,0.9,1.3,0.743,1.6,3.5,5.1,1.9,1,1.1,1,2.5,9.3
37,Marco Belinelli\belinma01,SG,21,GSW,33,0,7.3,1.1,2.8,0.387,0.5,1.2,0.39,0.6,1.6,0.385,0.473,0.2,0.3,0.778,0.1,0.3,0.4,0.5,0.2,0,0.4,0.5,2.9
38,Charlie Bell\bellch01,SG,28,MIL,68,5,23.9,2.7,7.1,0.381,1.1,3.2,0.341,1.6,4,0.413,0.457,1,1.3,0.805,0.5,2,2.5,3.1,0.8,0,1.1,1.8,7.6
39,Raja Bell\bellra01,SG,31,PHO,75,75,35.3,4.2,10,0.421,2.3,5.9,0.401,1.9,4.2,0.449,0.538,1.1,1.2,0.868,0.6,3,3.7,2.2,0.7,0.4,0.9,2.9,11.9
40,Mike Bibby\bibbymi01,PG,29,TOT,48,44,32.8,5.2,12.6,0.411,1.9,5.2,0.375,3.2,7.4,0.437,0.488,1.6,2.1,0.78,0.3,3,3.3,6,1.1,0.1,2.5,2,13.9
40,Mike Bibby\bibbymi01,PG,29,SAC,15,12,31.5,5.2,12.8,0.406,1.6,4.1,0.393,3.6,8.7,0.412,0.469,1.5,2.1,0.742,0.7,3,3.7,5,1.3,0.1,2.5,2.3,13.5
40,Mike Bibby\bibbymi01,PG,29,ATL,33,32,33.3,5.2,12.5,0.414,2.1,5.7,0.369,3.1,6.8,0.451,0.498,1.7,2.1,0.797,0.2,3,3.2,6.5,1.1,0.1,2.5,1.9,14.1
