Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,25,OKC,22,2,20,1.9,5.5,0.339,1.4,4.4,0.32,0.5,1.1,0.417,0.467,0.4,0.4,0.889,0.1,1.5,1.6,0.8,0.7,0.2,0.6,1.8,5.5
2,Jaylen Adams\adamsja01,PG,22,ATL,5,0,3.6,0.2,0.8,0.25,0.2,0.8,0.25,0,0,,0.375,0,0,,0,0.6,0.6,0.4,0,0.2,0,0,0.6
3,Steven Adams\adamsst01,C,25,OKC,24,24,33.3,6.4,10.9,0.59,0,0,,6.4,10.9,0.59,0.59,2.6,4.7,0.554,4.9,5,10,1.6,1.5,1,1.6,2.3,15.4
4,Bam Adebayo\adebaba01,C,21,MIA,26,4,20.3,3.1,5.6,0.559,0,0.1,0,3.1,5.5,0.57,0.559,2.3,3.2,0.711,2.2,4.9,7.2,1.5,0.7,0.9,1.2,2.4,8.5
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,6,0,3.5,0.5,1.7,0.3,0,0.7,0,0.5,1,0.5,0.3,0.2,0.3,0.5,0.2,0.5,0.7,1,0.3,0,0.2,0.7,1.2
6,LaMarcus Aldridge\aldrila01,C,33,SAS,28,28,32.9,7.2,15.7,0.459,0,0.3,0,7.2,15.4,0.469,0.459,3.8,4.5,0.827,3.3,6.4,9.7,2.2,0.4,1.2,2.1,2.1,18.2
7,Grayson Allen\allengr01,SG,23,UTA,16,1,9.7,1.2,3.6,0.333,0.6,2.3,0.27,0.6,1.3,0.45,0.421,1.1,1.6,0.72,0.1,0.3,0.3,0.4,0.1,0,0.6,1.1,4.1
8,Jarrett Allen\allenja01,C,20,BRK,26,26,28.2,4.7,8,0.587,0.1,0.8,0.15,4.6,7.2,0.633,0.594,2.8,4,0.718,3,5.6,8.5,1.6,0.5,1.5,1.5,2.8,12.3
9,Al-Farouq Aminu\aminual01,PF,28,POR,27,27,30.1,3.2,7.1,0.446,1.4,3.9,0.352,1.8,3.3,0.557,0.541,1.6,1.9,0.827,1.4,7,8.3,0.7,1,0.4,0.9,2.3,9.3
10,Justin Anderson\anderju01,SG,25,ATL,9,0,8,1.8,4.1,0.432,0.1,1.6,0.071,1.7,2.6,0.652,0.446,0.9,1,0.889,0.6,0.8,1.3,0.4,0.6,0.1,0.3,1.2,4.6
