"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team","All-NBA 3rd Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"3","2018","Stephen Curry","G","Golden State Warriors",".495","26.4","5.1","6.1","0.2",NA
"4","","Paul George","F","Oklahoma City Thunder",".430","21.9","5.7","3.3","0.5",NA
"5","","Jimmy Butler","G","Minnesota Timberwolves",".474","22.2","5.3","4.9","0.4",NA
"6","","Victor Oladipo","G","Indiana Pacers",".477","23.1","5.2","4.3","0.8",NA
"7","","Karl-Anthony Towns","F","Minnesota Timberwolves",".545","21.3","12.3","2.4","1.4",NA
"8","2017","DeAndre Jordan","C","LA Clippers",".714","12.7","13.8","1.2","1.7",NA
"9","","DeMar DeRozan","G","Toronto Raptors",".467","27.3","5.2","3.9","0.2",NA
"10","","John Wall","G","Washington Wizards",".451","23.1","4.2","10.7","0.6",NA
"11","","Jimmy Butler","G","Chicago Bulls",".455","23.9","6.2","5.5","0.4",NA
"12","","Draymond Green","F","Golden State Warriors",".418","10.2","7.9","7.0","1.4",NA
"13","2016","LaMarcus Aldridge","F","San Antonio Spurs",".513","18.0","8.5","1.5","1.1",NA
"14","","Kyle Lowry","G","Toronto Raptors",".427","21.2","4.7","6.4","0.4",NA
"15","","Paul George","F","Indiana Pacers",".418","23.1","7.0","4.1","0.4",NA
"16","","Klay Thompson","G","Golden State Warriors",".470","22.1","3.8","2.1","0.6",NA
"17","","Andre Drummond","C","Detroit Pistons",".521","16.2","14.8","0.8","1.4",NA
"18","2015","Tim Duncan","F","San Antonio Spurs",".512","13.9","9.1","3.0","2.0",NA
"19","","DeAndre Jordan","C","LA Clippers",".710","11.5","15.0","0.7","2.2",NA
"20","","Blake Griffin","F","LA Clippers",".502","21.9","7.6","5.3","0.5",NA
"21","","Kyrie Irving","G","Cleveland Cavaliers",".468","21.7","3.2","5.2","0.3",NA
"22","","Klay Thompson","G","Golden State Warriors",".463","21.7","3.2","2.9","0.8",NA
"23","2014","Al Jefferson","C","Charlotte Bobcats",".509","21.8","10.8","2.1","1.1",NA
