"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team","All-Defensive 2nd Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"3","2018","Al Horford","C","Boston Celtics",".489","12.9","7.4","4.7","1.1",NA
"4","","Jimmy Butler","G","Minnesota Timberwolves",".474","22.2","5.3","4.9","0.4",NA
"5","","Draymond Green","F","Golden State Warriors",".454","11.0","7.6","7.3","1.3",NA
"6","","Joel Embiid","C","Philadelphia 76ers",".483","22.9","11.0","3.2","1.8",NA
"7","","Dejounte Murray","G","San Antonio Spurs",".443","8.1","5.7","2.9","0.4",NA
"8","2017","Tony Allen","G","Memphis Grizzlies",".460","9.1","5.5","1.4","0.4",NA
"9","","Danny Green","G","San Antonio Spurs",".392","7.3","3.3","1.8","0.8",NA
"10","","Anthony Davis","F","New Orleans Pelicans",".505","28.0","11.8","2.1","2.2",NA
"11","","Andre Roberson","G","Oklahoma City Thunder",".464","6.6","5.1","1.0","1.0",NA
"12","","Giannis Antetokounmpo","F","Milwaukee Bucks",".521","22.9","8.8","5.4","1.9",NA
"13","2016","Tony Allen","G","Memphis Grizzlies",".458","8.4","4.6","1.1","0.3",NA
"14","","Paul Millsap","F","Atlanta Hawks",".470","17.1","9.0","3.3","1.7",NA
"15","","Paul George","F","Indiana Pacers",".418","23.1","7.0","4.1","0.4",NA
"16","","Hassan Whiteside","C","Miami Heat",".606","14.2","11.8","0.4","3.7",NA
"17","","Jimmy Butler","G","Chicago Bulls",".454","20.9","5.3","4.8","0.6",NA
"18","2015","Tim Duncan","F","San Antonio Spurs",".512","13.9","9.1","3.0","2.0",NA
"19","","Andrew Bogut","C","Golden State Warriors",".563","6.3","8.1","2.7","1.7",NA
"20","","John Wall","G","Washington Wizards",".445","17.6","4.6","10.0","0.6",NA
"21","","Jimmy Butler","G","Chicago Bulls",".462","20.0","5.8","3.3","0.6",NA
"22","","Anthony Davis","F","New Orleans Pelicans",".535","24.4","10.2","2.2","2.9",NA
"23","2014","LeBron James","F","Miami Heat",".567","27.1","6.9","6.4","0.3",NA
"24","","Roy Hibbert","C","Indiana Pacers",".439","10.8","6.6","1.1","2.2",NA
"25","","Patrick Beverley","G","Houston Rockets",".414","10.2","3.5","2.7","0.4",NA
"26","","Jimmy Butler","G","Chicago Bulls",".397","13.1","4.9","2.6","0.5",NA
