"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"203","1979","Leon Brown","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"204","","Phil Ford","G","Kansas City Kings","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"205","","Reggie Theus","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"206","","Mychal Thompson","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"207","","Terry Tyler","","Detroit Pistons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"208","1978","Walter Davis","FC","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"209","","Marques Johnson","","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"210","","Bernard King","","New Jersey Nets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"211","","Norman Nixon","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"212","","Jack Sikma","","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"213","1977","Adrian Dantley","","Buffalo Braves","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"214","","Mitch Kupchak","","Washington Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"215","","Kevin Loder","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"216","","John Lucas","","Houston Rockets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"217","","Scott May","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"218","1976","Alvan Adams","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"219","","Lionel Hollins","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"220","","Joe Meriweather","","Houston Rockets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"221","","John Shumate","FC","Buffalo Braves","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"222","","Gus Williams","","Golden State Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"223","1975","Tom Burleson","C","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"224","","John Drew","","Atlanta Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"225","","Scott Wedman","GF","Kansas City-Omaha Kings","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"226","","Jamaal Wilkes","","Golden State Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"227","","Brian Winters","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"228","1974","Michael Bantom","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"229","","Ron Behagen","FC","Kansas City-Omaha Kings","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"230","","John Brown","","Atlanta Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"231","","Ernie Digregorio","G","Buffalo Braves","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"232","","Nick Weatherspoon","F","Capital Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"233","1973","Fred Boyd","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"234","","Dwight Davis","","Cleveland Cavaliers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"235","","Bob McAdoo","","Buffalo Braves","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"236","","Lloyd Neal","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"237","","James Price","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"238","1972","Austin Carr","","Cleveland Cavaliers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"239","","Phil Chenier","SG","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"240","","Clifford Ray","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"241","","Elmore Smith","C","Buffalo Braves","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"242","","Sidney Wicks","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"243","1971","David Cowens","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"244","","Peter Maravich","","Atlanta Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"245","","Bob Lanier","","Detroit Pistons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"246","","Calvin Murphy","","San Diego Rockets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"247","","Geoff Petrie","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"248","1970","Dean Garrett","C","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"249","","Joe White","C","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"250","","Kareem Abdul-Jabbar","","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"251","","Bob Dandridge","GF","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"252","","Lawrence Hill","","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"253","1969","Elvin Hayes","","San Diego Rockets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"254","","Westley Unseld","","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"255","","Gary Gregor","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"256","","Garfield Heard","","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"257","","Douglas Holcomb","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"258","1968","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"259","","Earl Monroe","F","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"260","","Phil Jackson","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"261","","John Rudd","","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"262","","Richard Triptow","","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"263","1967","David Bing","","Detroit Pistons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"264","","Myron Jackson","","St. Louis Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"265","","Jack Marin","GF","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"266","","Erwin Mueller","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"267","","Cazzie Russell","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"268","1966","Rick Barry","","San Francisco Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"269","","William Cunningham","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"270","","Fred Hetzel","FC","San Francisco Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"271","","Hal Uplinger","G","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"272","","Thomas Van Arsdale","","Detroit Pistons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"273","1965","Willis Reed","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"274","","Ralph Beard","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"275","","Joe Caldwell","","Detroit Pistons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"276","","Luke Jackson","F","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"277","","Wali Jones","","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
